Day,Price,Temperature,Precipitation,SnowDepth,SunshineHours,Month,DayOfWeek,Season,Price_lag_1,Price_lag_2,Price_lag_3,Price_lag_4,Price_lag_5,Price_lag_6,Price_lag_7,Price_MA7,Temp_MA7
2016-01-18,43.206250000000004,-7.763636363636364,1.7494736842105263,0.16116666666666665,224.27777777777777,1,0,1,26.436666666666667,27.98,58.240833333333335,55.86375,34.47166666666667,30.586250000000003,32.48291666666667,39.54077380952382,-9.944915084915085
2016-01-19,57.155,-8.907692307692308,0.5547368421052632,0.18084745762711865,141.79814814814816,1,1,1,43.206250000000004,26.436666666666667,27.98,58.240833333333335,55.86375,34.47166666666667,30.586250000000003,43.336309523809526,-10.895464535464535
2016-01-20,50.92458333333334,-9.904615384615385,0.16526315789473686,0.18262295081967214,107.9574074074074,1,2,1,57.155,43.206250000000004,26.436666666666667,27.98,58.240833333333335,55.86375,34.47166666666667,45.686726190476186,-11.306013986013985
2016-01-21,88.1025,-10.941538461538462,0.02631578947368421,0.17949152542372881,230.67962962962963,1,3,1,50.92458333333334,57.155,43.206250000000004,26.436666666666667,27.98,58.240833333333335,55.86375,50.29226190476191,-10.953046953046954
2016-01-22,41.856249999999996,-8.969696969696969,0.08210526315789474,0.18196428571428572,125.00925925925925,1,4,1,88.1025,50.92458333333334,57.155,43.206250000000004,26.436666666666667,27.98,58.240833333333335,47.95160714285714,-10.132673992673991
2016-01-23,23.85666666666667,-3.471212121212121,0.48631578947368426,0.17942307692307694,4.7555555555555555,1,5,1,41.856249999999996,88.1025,50.92458333333334,57.155,43.206250000000004,26.436666666666667,27.98,47.36255952380952,-8.812957042957043
2016-01-24,22.27,-0.3787878787878788,0.3810526315789474,0.1726923076923077,23.37962962962963,1,6,1,23.85666666666667,41.856249999999996,88.1025,50.92458333333334,57.155,43.206250000000004,26.436666666666667,46.76732142857143,-7.19102564102564
2016-01-25,24.187083333333334,0.4136363636363636,0.9578947368421052,0.1277777777777778,0.0,1,0,1,22.27,23.85666666666667,41.856249999999996,88.1025,50.92458333333334,57.155,43.206250000000004,44.05029761904762,-6.022843822843823
2016-01-26,18.198333333333334,3.5318181818181817,3.471578947368421,0.07890625,95.55925925925925,1,1,1,24.187083333333334,22.27,23.85666666666667,41.856249999999996,88.1025,50.92458333333334,57.155,38.485059523809525,-4.245770895770896
2016-01-27,16.66375,4.925757575757576,6.045263157894737,0.034375,18.237037037037037,1,2,1,18.198333333333334,24.187083333333334,22.27,23.85666666666667,41.856249999999996,88.1025,50.92458333333334,33.59065476190476,-2.127146187146187
2016-01-28,16.789583333333333,3.135820895522388,1.3021052631578949,0.026000000000000002,143.89074074074074,1,3,1,16.66375,18.198333333333334,24.187083333333334,22.27,23.85666666666667,41.856249999999996,88.1025,23.403095238095236,-0.11609485042320847
2016-01-29,16.125416666666666,4.389552238805971,2.5536842105263156,0.022166666666666668,45.58148148148148,1,4,1,16.789583333333333,16.66375,18.198333333333334,24.187083333333334,22.27,23.85666666666667,41.856249999999996,19.727261904761907,1.7923693222200685
2016-01-30,13.648333333333333,3.2880597014925375,1.1126315789473684,0.013000000000000001,46.89074074074074,1,5,1,16.125416666666666,16.789583333333333,16.66375,18.198333333333334,24.187083333333334,22.27,23.85666666666667,18.26892857142857,2.7579795826064486
2016-01-31,16.455833333333334,0.9104477611940298,0.42210526315789476,0.013898305084745764,154.46296296296296,1,6,1,13.648333333333333,16.125416666666666,16.789583333333333,16.66375,18.198333333333334,24.187083333333334,22.27,17.438333333333333,2.942156102603864
2016-02-01,18.624166666666667,-1.0462686567164179,3.875,0.016875,100.8037037037037,2,0,1,16.455833333333334,13.648333333333333,16.125416666666666,16.789583333333333,16.66375,18.198333333333334,24.187083333333334,16.643630952380953,2.7335982425534664
2016-02-02,16.899166666666666,3.422388059701493,6.139583333333333,0.020967741935483872,37.931481481481484,2,1,1,18.624166666666667,16.455833333333334,13.648333333333333,16.125416666666666,16.789583333333333,16.66375,18.198333333333334,16.458035714285717,2.7179653679653684
2016-02-03,17.7525,-0.08955223880597019,0.15104166666666666,0.0190625,230.80925925925925,2,2,1,16.899166666666666,18.624166666666667,16.455833333333334,13.648333333333333,16.125416666666666,16.789583333333333,16.66375,16.61357142857143,2.0014925373134327
2016-02-04,18.21875,-1.4477611940298507,0.0010416666666666667,0.01921875,376.6277777777778,2,3,1,17.7525,16.899166666666666,18.624166666666667,16.455833333333334,13.648333333333333,16.125416666666666,16.789583333333333,16.817738095238095,1.3466950959488275
2016-02-05,20.7775,-1.4059701492537313,1.328125,0.02140625,288.2962962962963,2,4,1,18.21875,17.7525,16.899166666666666,18.624166666666667,16.455833333333334,13.648333333333333,16.125416666666666,17.482321428571428,0.5187633262260128
2016-02-06,16.006666666666668,3.229850746268657,1.3697916666666667,0.020701754385964916,0.5037037037037037,2,5,1,20.7775,18.21875,17.7525,16.899166666666666,18.624166666666667,16.455833333333334,13.648333333333333,17.81922619047619,0.5104477611940299
2016-02-07,14.700416666666667,4.856716417910447,1.3177083333333333,0.011724137931034481,175.6462962962963,2,6,1,16.006666666666668,20.7775,18.21875,17.7525,16.899166666666666,18.624166666666667,16.455833333333334,17.568452380952383,1.0742004264392324
2016-02-08,14.40375,3.892537313432836,3.5031250000000003,0.008064516129032258,125.5537037037037,2,0,1,14.700416666666667,16.006666666666668,20.7775,18.21875,17.7525,16.899166666666666,18.624166666666667,16.965535714285714,1.7797441364605544
2016-02-09,16.976666666666667,3.6283582089552238,3.1166666666666667,0.004426229508196722,60.775925925925925,2,1,1,14.40375,14.700416666666667,16.006666666666668,20.7775,18.21875,17.7525,16.899166666666666,16.976607142857144,1.8091684434968016
2016-02-10,19.65875,1.983582089552239,5.5625,0.006000000000000001,3.8462962962962965,2,2,1,16.976666666666667,14.40375,14.700416666666667,16.006666666666668,20.7775,18.21875,17.7525,17.24892857142857,2.1053304904051173
2016-02-11,20.54375,0.3119402985074627,0.34270833333333334,0.014603174603174604,21.564814814814817,2,3,1,19.65875,16.976666666666667,14.40375,14.700416666666667,16.006666666666668,20.7775,18.21875,17.581071428571427,2.3567164179104476
2016-02-12,23.14625,-2.3701492537313436,1.1458333333333333,0.016666666666666666,116.67962962962962,2,4,1,20.54375,19.65875,16.976666666666667,14.40375,14.700416666666667,16.006666666666668,20.7775,17.919464285714287,2.2189765458422177
2016-02-13,18.63625,-3.0582089552238805,1.128125,0.03280701754385965,148.02407407407406,2,5,1,23.14625,20.54375,19.65875,16.976666666666667,14.40375,14.700416666666667,16.006666666666668,18.295119047619046,1.3206823027718548
2016-02-14,17.528333333333332,-4.371641791044776,0.030208333333333334,0.04272727272727273,156.36666666666667,2,6,1,18.63625,23.14625,20.54375,19.65875,16.976666666666667,14.40375,14.700416666666667,18.699107142857144,0.002345415778251742
2016-02-15,21.50208333333333,-6.2791044776119405,0.0010416666666666667,0.0384375,272.1722222222222,2,0,1,17.528333333333332,18.63625,23.14625,20.54375,19.65875,16.976666666666667,14.40375,19.713154761904764,-1.4507462686567163
2016-02-16,26.1725,-4.916417910447761,0.0,0.037796610169491526,499.82592592592596,2,1,1,21.50208333333333,17.528333333333332,18.63625,23.14625,20.54375,19.65875,16.976666666666667,21.026845238095238,-2.6714285714285713
2016-02-17,18.576249999999998,-1.5940298507462687,1.2979166666666666,0.03474576271186441,410.9611111111111,2,2,1,26.1725,21.50208333333333,17.528333333333332,18.63625,23.14625,20.54375,19.65875,20.87220238095238,-3.1825159914712153
2016-02-18,23.09875,-1.4432835820895522,1.1791666666666667,0.04389830508474576,12.16111111111111,2,3,1,18.576249999999998,26.1725,21.50208333333333,17.528333333333332,18.63625,23.14625,20.54375,21.23720238095238,-3.4332622601279317
