Model,MSE,RMSE,MAE,R²
Linear Regression (Ridge),2.9728108124139077,1.724184100499105,0.9640608476969732,0.9987449443444562
Ensemble Method (Random Forest),437.6255396406774,20.919501419505135,10.517879875598194,0.8152440759960484
Neural Network (MLP),73.79121065499457,8.590181060664237,5.273681567491791,0.9688469660177335
