Datum,Lufttemperatur,Kvalitet
2014-01-01,3.0,Y
2014-01-02,3.9,Y
2014-01-03,4.0,Y
2014-01-04,3.9,Y
2014-01-05,2.5,Y
2014-01-06,3.6,Y
2014-01-07,5.6,Y
2014-01-08,5.6,Y
2014-01-09,5.2,Y
2014-01-10,0.0,Y
2014-01-11,-2.7,Y
2014-01-12,-6.1,Y
2014-01-13,-7.5,Y
2014-01-14,-5.2,Y
2014-01-15,-4.1,Y
2014-01-16,-4.6,Y
2014-01-17,-7.4,Y
2014-01-18,-3.8,Y
2014-01-19,-3.1,Y
2014-01-20,-2.6,Y
2014-01-21,-2.9,Y
2014-01-22,-4.9,Y
2014-01-23,-5.6,Y
2014-01-24,-4.6,Y
2014-01-25,-4.0,Y
2014-01-26,-3.2,Y
2014-01-27,-0.9,Y
2014-01-28,-0.7,Y
2014-01-29,-3.2,Y
2014-01-30,-3.3,Y
2014-01-31,-4.0,Y
2014-02-01,0.0,Y
2014-02-02,1.3,Y
2014-02-03,1.2,Y
2014-02-04,0.8,Y
2014-02-05,1.1,Y
2014-02-06,0.4,Y
2014-02-07,2.1,Y
2014-02-08,2.9,Y
2014-02-09,2.6,Y
2014-02-10,2.8,Y
2014-02-11,1.1,Y
2014-02-12,1.5,Y
2014-02-13,1.6,Y
2014-02-14,1.8,Y
2014-02-15,2.2,Y
2014-02-16,4.0,Y
2014-02-17,3.7,Y
2014-02-18,1.2,Y
2014-02-19,-1.7,Y
2014-02-20,-0.6,Y
2014-02-21,1.4,Y
2014-02-22,3.2,Y
2014-02-23,5.3,Y
2014-02-24,4.9,Y
2014-02-25,3.2,Y
2014-02-26,1.9,Y
2014-02-27,2.0,Y
2014-02-28,2.4,Y
2014-03-01,1.8,Y
2014-03-02,2.3,Y
2014-03-03,2.4,Y
2014-03-04,2.9,Y
2014-03-05,2.0,Y
2014-03-06,4.2,Y
2014-03-07,5.5,Y
2014-03-08,6.3,Y
2014-03-09,7.7,Y
2014-03-10,6.9,Y
2014-03-11,4.6,Y
2014-03-12,8.4,Y
2014-03-13,7.7,Y
2014-03-14,6.7,Y
2014-03-15,2.4,Y
2014-03-16,-0.4,Y
2014-03-17,0.1,Y
2014-03-18,-0.9,Y
2014-03-19,-0.9,Y
2014-03-20,2.7,Y
2014-03-21,8.6,Y
2014-03-22,5.5,Y
2014-03-23,4.9,Y
2014-03-24,3.6,Y
2014-03-25,3.4,Y
2014-03-26,3.4,Y
2014-03-27,5.4,Y
2014-03-28,5.0,Y
2014-03-29,6.3,Y
2014-03-30,6.3,Y
2014-03-31,2.9,Y
2014-04-01,1.2,Y
2014-04-02,2.2,Y
2014-04-03,2.2,Y
2014-04-04,1.3,Y
2014-04-05,4.0,Y
2014-04-06,6.5,Y
2014-04-07,4.9,Y
2014-04-08,3.8,Y
2014-04-09,2.6,Y
2014-04-10,3.4,Y
2014-04-11,5.5,Y
2014-04-12,7.3,Y
2014-04-13,8.4,Y
2014-04-14,8.4,Y
2014-04-15,6.8,Y
2014-04-16,5.6,Y
2014-04-17,8.6,Y
2014-04-18,7.5,Y
2014-04-19,7.4,Y
2014-04-20,10.6,Y
2014-04-21,11.1,Y
2014-04-22,10.0,Y
2014-04-23,7.3,Y
2014-04-24,5.5,Y
2014-04-25,8.3,Y
2014-04-26,9.0,Y
2014-04-27,11.4,Y
2014-04-28,13.2,Y
2014-04-29,9.5,Y
2014-04-30,6.2,Y
2014-05-01,4.0,Y
2014-05-02,4.7,Y
2014-05-03,5.0,Y
2014-05-04,4.8,Y
2014-05-05,6.2,Y
2014-05-06,5.1,Y
2014-05-07,6.5,Y
2014-05-08,6.8,Y
2014-05-09,7.9,Y
2014-05-10,7.0,Y
2014-05-11,8.1,Y
2014-05-12,8.5,Y
2014-05-13,10.7,Y
2014-05-14,8.1,Y
2014-05-15,7.7,Y
2014-05-16,14.3,Y
2014-05-17,13.6,Y
2014-05-18,15.2,Y
2014-05-19,11.7,Y
2014-05-20,13.6,Y
2014-05-21,16.9,Y
2014-05-22,18.8,Y
2014-05-23,18.5,Y
2014-05-24,20.0,Y
2014-05-25,19.9,Y
2014-05-26,15.2,Y
2014-05-27,8.4,Y
2014-05-28,7.7,Y
2014-05-29,11.4,Y
2014-05-30,10.0,Y
2014-05-31,11.6,Y
2014-06-01,13.0,Y
2014-06-02,13.6,Y
2014-06-03,12.9,Y
2014-06-04,13.1,Y
2014-06-05,14.6,Y
2014-06-06,14.6,Y
2014-06-07,15.1,Y
2014-06-08,17.8,Y
2014-06-09,20.4,Y
2014-06-10,18.1,Y
2014-06-11,16.8,Y
2014-06-12,16.8,Y
2014-06-13,13.7,Y
2014-06-14,12.3,Y
2014-06-15,15.0,Y
2014-06-16,13.6,Y
2014-06-17,10.8,Y
2014-06-18,15.2,Y
2014-06-19,11.2,Y
2014-06-20,10.6,Y
2014-06-21,10.1,Y
2014-06-22,9.7,Y
2014-06-23,9.4,Y
2014-06-24,13.6,Y
2014-06-25,12.6,Y
2014-06-26,12.5,Y
2014-06-27,12.2,Y
2014-06-28,12.8,Y
2014-06-29,14.1,Y
2014-06-30,14.6,Y
2014-07-01,13.3,Y
2014-07-02,15.8,Y
2014-07-03,15.4,Y
2014-07-04,18.1,Y
2014-07-05,19.3,Y
2014-07-06,19.1,Y
2014-07-07,21.7,Y
2014-07-08,22.4,Y
2014-07-09,22.0,Y
2014-07-10,20.7,Y
2014-07-11,17.6,Y
2014-07-12,18.1,Y
2014-07-13,19.3,Y
2014-07-14,18.2,Y
2014-07-15,19.7,Y
2014-07-16,20.4,Y
2014-07-17,20.2,Y
2014-07-18,20.1,Y
2014-07-19,19.7,Y
2014-07-20,20.4,Y
2014-07-21,21.9,Y
2014-07-22,21.4,Y
2014-07-23,22.5,Y
2014-07-24,24.0,Y
2014-07-25,24.4,Y
2014-07-26,23.8,Y
2014-07-27,21.4,Y
2014-07-28,23.2,Y
2014-07-29,24.1,Y
2014-07-30,22.1,Y
2014-07-31,21.1,Y
2014-08-01,20.4,Y
2014-08-02,21.6,Y
2014-08-03,23.0,Y
2014-08-04,24.6,Y
2014-08-05,23.5,Y
2014-08-06,23.1,Y
2014-08-07,20.2,Y
2014-08-08,21.0,Y
2014-08-09,21.7,Y
2014-08-10,20.4,Y
2014-08-11,18.4,Y
2014-08-12,18.2,Y
2014-08-13,17.3,Y
