Datum,Lufttemperatur,Kvalitet
2014-01-01,3.2,Y
2014-01-02,4.0,Y
2014-01-03,3.8,Y
2014-01-04,4.3,Y
2014-01-05,2.6,Y
2014-01-06,3.8,Y
2014-01-07,5.3,Y
2014-01-08,5.3,Y
2014-01-09,5.0,Y
2014-01-10,1.1,Y
2014-01-11,-2.1,Y
2014-01-12,-5.8,Y
2014-01-13,-6.3,Y
2014-01-14,-5.2,Y
2014-01-15,-3.7,Y
2014-01-16,-3.0,Y
2014-01-17,-4.1,Y
2014-01-18,-3.3,Y
2014-01-19,-3.1,Y
2014-01-20,-2.7,Y
2014-01-21,-2.7,Y
2014-01-22,-5.0,Y
2014-01-23,-5.3,Y
2014-01-24,-4.2,Y
2014-01-25,-3.9,Y
2014-01-26,-2.9,Y
2014-01-27,-1.5,Y
2014-01-28,-1.3,Y
2014-01-29,-3.3,Y
2014-01-30,-3.6,Y
2014-01-31,-3.9,Y
2014-02-01,0.2,Y
2014-02-02,1.1,Y
2014-02-03,1.1,Y
2014-02-04,1.2,Y
2014-02-05,0.7,Y
2014-02-06,0.9,Y
2014-02-07,1.8,Y
2014-02-08,2.6,Y
2014-02-09,2.0,Y
2014-02-10,0.8,Y
2014-02-11,1.0,Y
2014-02-12,1.1,Y
2014-02-13,1.2,Y
2014-02-14,1.5,Y
2014-02-15,1.5,Y
2014-02-16,2.8,Y
2014-02-17,3.5,Y
2014-02-18,-0.7,Y
2014-02-19,-1.7,Y
2014-02-20,-0.0,Y
2014-02-21,1.7,Y
2014-02-22,2.8,Y
2014-02-23,4.4,Y
2014-02-24,4.0,Y
2014-02-25,2.8,Y
2014-02-26,1.8,Y
2014-02-27,1.9,Y
2014-02-28,1.7,Y
2014-03-01,1.8,Y
2014-03-02,1.9,Y
2014-03-03,2.6,Y
2014-03-04,2.2,Y
2014-03-05,1.9,Y
2014-03-06,4.0,Y
2014-03-07,3.9,Y
2014-03-08,5.9,Y
2014-03-09,7.6,Y
2014-03-10,5.1,Y
2014-03-11,5.3,Y
2014-03-12,6.1,Y
2014-03-13,7.0,Y
2014-03-14,6.5,Y
2014-03-15,2.2,Y
2014-03-16,-0.6,Y
2014-03-17,-2.0,Y
2014-03-18,-1.4,Y
2014-03-19,-1.2,Y
2014-03-20,3.2,Y
2014-03-21,6.5,Y
2014-03-22,4.9,Y
2014-03-23,4.5,Y
2014-03-24,4.1,Y
2014-03-25,3.7,Y
2014-03-26,3.2,Y
2014-03-27,3.7,Y
2014-03-28,2.8,Y
2014-03-29,4.3,Y
2014-03-30,4.6,Y
2014-03-31,2.8,Y
2014-04-01,2.1,Y
2014-04-02,2.4,Y
2014-04-03,1.9,Y
2014-04-04,1.5,Y
2014-04-05,1.9,Y
2014-04-06,5.2,Y
2014-04-07,3.2,Y
2014-04-08,3.3,Y
2014-04-09,3.5,Y
2014-04-10,3.6,Y
2014-04-11,4.5,Y
2014-04-12,6.4,Y
2014-04-13,8.4,Y
2014-04-14,6.3,Y
2014-04-15,5.3,Y
2014-04-16,4.7,Y
2014-04-17,5.3,Y
2014-04-18,5.6,Y
2014-04-19,4.9,Y
2014-04-20,5.5,Y
2014-04-21,8.4,Y
2014-04-22,9.3,Y
2014-04-23,5.7,Y
2014-04-24,5.6,Y
2014-04-25,4.8,Y
2014-04-26,8.1,Y
2014-04-27,8.4,Y
2014-04-28,11.0,Y
2014-04-29,9.9,Y
2014-04-30,8.2,Y
2014-05-01,4.9,Y
2014-05-02,6.0,Y
2014-05-03,5.8,Y
2014-05-04,5.1,Y
2014-05-05,6.1,Y
2014-05-06,5.0,Y
2014-05-07,6.3,Y
2014-05-08,6.7,Y
2014-05-09,7.7,Y
2014-05-10,6.2,Y
2014-05-11,6.9,Y
2014-05-12,7.8,Y
2014-05-13,8.3,Y
2014-05-14,8.3,Y
2014-05-15,7.4,Y
2014-05-16,13.2,Y
2014-05-17,12.1,Y
2014-05-18,12.9,Y
2014-05-19,11.4,Y
2014-05-20,13.6,Y
2014-05-21,15.0,Y
2014-05-22,16.2,Y
2014-05-23,16.6,Y
2014-05-24,17.7,Y
2014-05-25,18.9,Y
2014-05-26,14.0,Y
2014-05-27,8.1,Y
2014-05-28,7.7,Y
2014-05-29,10.6,Y
2014-05-30,10.2,Y
2014-05-31,11.6,Y
2014-06-01,11.3,Y
2014-06-02,12.1,Y
2014-06-03,12.2,Y
2014-06-04,12.4,Y
2014-06-05,12.1,Y
2014-06-06,12.3,Y
2014-06-07,13.8,Y
2014-06-08,16.8,Y
2014-06-09,19.0,Y
2014-06-10,15.9,Y
2014-06-11,15.4,Y
2014-06-12,17.2,Y
2014-06-13,14.9,Y
2014-06-14,11.4,Y
2014-06-15,13.1,Y
2014-06-16,13.4,Y
2014-06-17,10.7,Y
2014-06-18,13.4,Y
2014-06-19,10.3,Y
2014-06-20,10.5,Y
2014-06-21,11.0,Y
2014-06-22,9.8,Y
2014-06-23,8.9,Y
2014-06-24,12.3,Y
2014-06-25,11.9,Y
2014-06-26,13.7,Y
2014-06-27,12.4,Y
2014-06-28,12.2,Y
2014-06-29,12.4,Y
2014-06-30,13.6,Y
2014-07-01,13.2,Y
2014-07-02,14.3,Y
2014-07-03,14.8,Y
2014-07-04,16.5,Y
2014-07-05,17.7,Y
2014-07-06,15.7,Y
2014-07-07,17.4,Y
2014-07-08,18.4,Y
2014-07-09,19.6,Y
2014-07-10,19.2,Y
2014-07-11,16.3,Y
2014-07-12,17.3,Y
2014-07-13,17.8,Y
2014-07-14,17.9,Y
2014-07-15,17.8,Y
2014-07-16,19.2,Y
2014-07-17,19.5,Y
2014-07-18,20.5,Y
2014-07-19,19.8,Y
2014-07-20,19.7,Y
2014-07-21,21.5,Y
2014-07-22,21.5,Y
2014-07-23,21.4,Y
2014-07-24,22.8,Y
2014-07-25,23.1,Y
2014-07-26,23.5,Y
2014-07-27,22.7,Y
2014-07-28,22.2,Y
2014-07-29,24.7,Y
2014-07-30,22.7,Y
2014-07-31,20.4,Y
2014-08-01,20.8,Y
2014-08-02,21.4,Y
2014-08-03,21.1,Y
2014-08-04,23.6,Y
2014-08-05,22.8,Y
2014-08-06,22.7,Y
2014-08-07,21.5,Y
2014-08-08,21.6,Y
2014-08-09,21.5,Y
2014-08-10,20.5,Y
2014-08-11,18.8,Y
2014-08-12,18.6,Y
2014-08-13,17.0,Y
2014-08-14,16.2,Y
2014-08-15,17.3,Y
2014-08-16,16.9,Y
2014-08-17,15.8,Y
2014-08-18,15.3,Y
2014-08-19,15.4,Y
2014-08-20,15.7,Y
2014-08-21,15.1,Y
2014-08-22,16.0,Y
2014-08-23,14.4,Y
2014-08-24,13.6,Y
2014-08-25,14.1,Y
2014-08-26,14.0,Y
2014-08-27,14.9,Y
2014-08-28,14.6,Y
2014-08-29,14.1,Y
2014-08-30,13.4,Y
2014-08-31,13.3,Y
2014-09-01,14.2,Y
2014-09-02,13.9,Y
2014-09-03,16.2,Y
2014-09-04,17.3,Y
2014-09-05,15.8,Y
2014-09-06,16.4,Y
2014-09-07,15.3,Y
2014-09-08,16.2,Y
2014-09-09,15.9,Y
2014-09-10,16.0,Y
2014-09-11,14.4,Y
2014-09-12,15.0,Y
2014-09-13,14.3,Y
2014-09-14,13.9,Y
2014-09-15,13.5,Y
2014-09-16,13.4,Y
2014-09-17,13.8,Y
2014-09-18,14.6,Y
2014-09-19,14.5,Y
2014-09-20,15.2,Y
2014-09-21,14.1,Y
2014-09-22,10.7,Y
2014-09-23,8.4,Y
2014-09-24,6.3,Y
2014-09-25,8.1,Y
2014-09-26,11.1,Y
2014-09-27,13.3,Y
2014-09-28,13.9,Y
2014-09-29,13.6,Y
2014-09-30,9.5,Y
2014-10-01,8.1,Y
2014-10-02,8.9,Y
2014-10-03,11.5,Y
2014-10-04,11.4,Y
2014-10-05,12.1,Y
2014-10-06,9.0,Y
2014-10-07,8.6,Y
2014-10-08,10.6,Y
2014-10-09,9.5,Y
2014-10-10,11.8,Y
2014-10-11,11.5,Y
2014-10-12,9.4,Y
2014-10-13,9.7,Y
2014-10-14,9.2,Y
2014-10-15,8.9,Y
2014-10-16,7.4,Y
2014-10-17,6.7,Y
2014-10-18,7.7,Y
2014-10-19,11.2,Y
2014-10-20,10.5,Y
2014-10-21,7.9,Y
2014-10-22,6.7,Y
2014-10-23,4.7,Y
2014-10-24,6.7,Y
2014-10-25,9.7,Y
2014-10-26,11.3,Y
2014-10-27,13.2,Y
2014-10-28,13.8,Y
2014-10-29,10.9,Y
2014-10-30,4.4,Y
2014-10-31,3.5,Y
2014-11-01,5.1,Y
2014-11-02,9.9,Y
2014-11-03,11.3,Y
2014-11-04,10.2,Y
2014-11-05,5.1,Y
2014-11-06,3.0,Y
2014-11-07,3.7,Y
2014-11-08,5.0,Y
2014-11-09,7.3,Y
2014-11-10,7.2,Y
2014-11-11,5.8,Y
2014-11-12,5.9,Y
2014-11-13,6.2,Y
2014-11-14,7.4,Y
2014-11-15,6.9,Y
2014-11-16,6.2,Y
2014-11-17,4.9,Y
2014-11-18,5.8,Y
2014-11-19,4.6,Y
2014-11-20,4.4,Y
2014-11-21,2.2,Y
2014-11-22,2.4,Y
2014-11-23,5.0,Y
2014-11-24,6.3,Y
2014-11-25,3.9,Y
2014-11-26,2.2,Y
2014-11-27,2.9,Y
2014-11-28,2.2,Y
2014-11-29,1.6,Y
2014-11-30,1.0,Y
2014-12-01,1.5,Y
2014-12-02,1.8,Y
2014-12-03,2.0,Y
2014-12-04,1.8,Y
2014-12-05,3.3,Y
2014-12-06,2.3,Y
2014-12-07,3.4,Y
2014-12-08,3.1,Y
2014-12-09,1.9,Y
2014-12-10,3.3,Y
2014-12-11,3.1,Y
2014-12-12,2.7,Y
2014-12-13,1.5,Y
2014-12-14,1.9,Y
2014-12-15,4.4,Y
2014-12-16,1.9,Y
2014-12-17,0.8,Y
2014-12-18,0.4,Y
2014-12-19,3.2,Y
2014-12-20,1.2,Y
2014-12-21,-0.5,Y
2014-12-22,0.9,Y
2014-12-23,0.0,Y
2014-12-24,-3.1,Y
2014-12-25,-5.5,Y
2014-12-26,-5.4,Y
2014-12-27,-6.5,Y
2014-12-28,-6.9,Y
2014-12-29,-7.5,Y
2014-12-30,0.2,Y
2014-12-31,1.8,Y
