Datum,Lufttemperatur,Kvalitet
2014-06-01,15.8,Y
2014-06-02,14.0,Y
2014-06-03,12.3,Y
2014-06-04,13.0,Y
2014-06-05,14.4,Y
2014-06-06,16.1,Y
2014-06-07,14.0,Y
2014-06-08,18.5,Y
2014-06-09,19.5,Y
2014-06-10,19.4,Y
2014-06-11,17.5,Y
2014-06-12,17.3,Y
2014-06-13,13.9,Y
2014-06-14,12.7,Y
2014-06-15,15.5,Y
2014-06-16,13.1,Y
2014-06-17,12.6,Y
2014-06-18,17.8,Y
2014-06-19,13.0,Y
2014-06-20,11.6,Y
2014-06-21,11.0,Y
2014-06-22,10.0,Y
2014-06-23,10.1,Y
2014-06-24,14.3,Y
2014-06-25,12.1,Y
2014-06-26,13.3,Y
2014-06-27,12.7,Y
2014-06-28,11.8,Y
2014-06-29,14.2,Y
2014-06-30,13.6,Y
2014-07-01,13.1,Y
2014-07-02,14.5,Y
2014-07-03,14.7,Y
2014-07-04,16.2,Y
2014-07-05,19.9,Y
2014-07-06,20.7,Y
2014-07-07,21.1,Y
2014-07-08,21.8,Y
2014-07-09,22.4,Y
2014-07-10,20.8,Y
2014-07-11,17.3,Y
2014-07-12,16.6,Y
2014-07-13,19.0,Y
2014-07-14,16.5,Y
2014-07-15,17.6,Y
2014-07-16,18.9,Y
2014-07-17,18.3,Y
2014-07-18,19.9,Y
2014-07-19,18.4,Y
2014-07-20,19.4,Y
2014-07-21,20.4,Y
2014-07-22,21.0,Y
2014-07-23,20.9,Y
2014-07-24,24.0,Y
2014-07-25,23.8,Y
2014-07-26,22.1,Y
2014-07-27,22.5,Y
2014-07-28,21.9,Y
2014-07-29,21.8,Y
2014-07-30,20.5,Y
2014-07-31,19.7,Y
2014-08-01,19.1,Y
2014-08-02,20.5,Y
2014-08-03,24.4,Y
2014-08-04,24.6,Y
2014-08-05,19.5,Y
2014-08-06,17.7,Y
2014-08-07,19.4,Y
2014-08-08,19.0,Y
2014-08-09,19.2,Y
2014-08-10,18.2,Y
2014-08-11,18.4,Y
2014-08-12,15.4,Y
2014-08-13,16.0,Y
2014-08-14,16.2,Y
2014-08-15,16.2,Y
2014-08-16,15.1,Y
2014-08-17,14.0,Y
2014-08-18,14.1,Y
2014-08-19,12.3,Y
2014-08-20,14.0,Y
2014-08-21,13.3,Y
2014-08-22,11.8,Y
2014-08-23,11.9,Y
2014-08-24,12.4,Y
2014-08-25,10.4,Y
2014-08-26,10.9,Y
2014-08-27,14.3,Y
2014-08-28,12.4,Y
2014-08-29,11.7,Y
2014-08-30,12.4,Y
2014-08-31,11.5,Y
2014-09-01,12.0,Y
2014-09-02,13.3,Y
2014-09-03,15.5,Y
2014-09-04,15.5,Y
2014-09-05,14.6,Y
2014-09-06,15.5,Y
2014-09-07,15.8,Y
2014-09-08,13.5,Y
2014-09-09,11.8,Y
2014-09-10,12.2,Y
2014-09-11,13.3,Y
2014-09-12,13.7,Y
2014-09-13,14.2,Y
2014-09-14,12.2,Y
2014-09-15,11.5,Y
2014-09-16,10.9,Y
2014-09-17,10.8,Y
2014-09-18,11.2,Y
2014-09-19,12.0,Y
2014-09-20,13.6,Y
2014-09-21,10.4,Y
2014-09-22,8.4,Y
2014-09-23,5.6,Y
2014-09-24,6.9,Y
2014-09-25,8.6,Y
2014-09-26,11.1,Y
2014-09-27,12.8,Y
2014-09-28,13.3,Y
2014-09-29,13.0,Y
2014-09-30,5.9,Y
2014-10-01,6.4,Y
2014-10-02,11.3,Y
2014-10-03,11.7,Y
2014-10-04,12.0,Y
2014-10-05,12.9,Y
2014-10-06,8.2,Y
2014-10-07,8.7,Y
2014-10-08,9.9,Y
2014-10-09,11.6,Y
2014-10-10,11.7,Y
2014-10-11,9.9,Y
2014-10-12,9.5,Y
2014-10-13,7.8,Y
2014-10-14,6.8,Y
2014-10-15,7.6,Y
2014-10-16,5.4,Y
2014-10-17,4.9,Y
2014-10-18,6.2,Y
2014-10-19,12.6,Y
2014-10-20,10.7,Y
2014-10-21,7.2,Y
2014-10-22,4.8,Y
2014-10-23,4.1,Y
2014-10-24,7.5,Y
2014-10-25,9.3,Y
2014-10-26,10.9,Y
2014-10-27,12.4,Y
2014-10-28,13.8,Y
2014-10-29,8.0,Y
2014-10-30,2.4,Y
2014-10-31,3.5,Y
2014-12-02,0.0,Y
