Datum,Lufttemperatur,Kvalitet
2014-01-01,2.3,Y
2014-01-02,3.3,Y
2014-01-03,3.5,Y
2014-01-04,4.3,Y
2014-01-05,2.0,Y
2014-01-06,3.2,Y
2014-01-07,5.2,Y
2014-01-08,5.8,Y
2014-01-09,4.2,Y
2014-01-10,-0.6,Y
2014-01-11,-4.1,Y
2014-01-12,-6.1,Y
2014-01-13,-8.4,Y
2014-01-14,-9.8,Y
2014-01-15,-10.3,Y
2014-01-16,-11.2,Y
2014-01-17,-11.7,Y
2014-01-18,-7.3,Y
2014-01-19,-5.7,Y
2014-01-20,-4.9,Y
2014-01-21,-5.0,Y
2014-01-22,-7.3,Y
2014-01-23,-8.6,Y
2014-01-24,-7.4,Y
2014-01-25,-5.7,Y
2014-01-26,-6.5,Y
2014-01-27,-3.7,Y
2014-01-28,-2.3,Y
2014-01-29,-4.4,Y
2014-01-30,-3.6,Y
2014-01-31,-4.7,Y
2014-02-01,-0.9,Y
2014-02-02,0.9,Y
2014-02-03,1.4,Y
2014-02-04,0.3,Y
2014-02-05,-0.0,Y
2014-02-06,-0.3,Y
2014-02-07,1.7,Y
2014-02-08,2.4,Y
2014-02-09,2.5,Y
2014-02-10,2.7,Y
2014-02-11,0.9,Y
2014-02-12,1.1,Y
2014-02-13,0.8,Y
2014-02-14,1.3,Y
2014-02-15,1.6,Y
2014-02-16,3.5,Y
2014-02-17,3.0,Y
2014-02-18,-0.4,Y
2014-02-19,-2.0,Y
2014-02-20,-1.2,Y
2014-02-21,0.4,Y
2014-02-22,2.9,Y
2014-02-23,5.8,Y
2014-02-24,7.0,Y
2014-02-25,3.4,Y
2014-02-26,1.2,Y
2014-02-27,2.0,Y
2014-02-28,1.8,Y
2014-03-01,2.1,Y
2014-03-02,1.2,Y
2014-03-03,1.5,Y
2014-03-04,2.9,Y
2014-03-05,2.2,Y
2014-03-06,3.4,Y
2014-03-07,7.1,Y
2014-03-08,5.3,Y
2014-03-09,8.2,Y
2014-03-10,5.9,Y
2014-03-11,3.7,Y
2014-03-12,6.3,Y
2014-03-13,5.8,Y
2014-03-14,5.4,Y
2014-03-15,1.6,Y
2014-03-16,-2.5,Y
2014-03-17,-1.8,Y
2014-03-18,-4.1,Y
2014-03-19,-4.0,Y
2014-03-20,1.2,Y
2014-03-21,7.3,Y
2014-03-22,4.7,Y
2014-03-23,4.8,Y
2014-03-24,2.9,Y
2014-03-25,2.5,Y
2014-03-26,3.5,Y
2014-03-27,2.8,Y
2014-03-28,3.7,Y
2014-03-29,5.2,Y
2014-03-30,3.9,Y
2014-03-31,1.0,Y
2014-04-01,0.1,Y
2014-04-02,2.3,Y
2014-04-03,1.1,Y
2014-04-04,0.5,Y
2014-04-05,4.3,Y
2014-04-06,4.7,Y
2014-04-07,2.6,Y
2014-04-08,4.2,Y
2014-04-09,3.0,Y
2014-04-10,2.8,Y
2014-04-11,6.9,Y
2014-04-12,6.5,Y
2014-04-13,7.1,Y
2014-04-14,6.7,Y
2014-04-15,4.5,Y
2014-04-16,6.1,Y
2014-04-17,9.1,Y
2014-04-18,7.4,Y
2014-04-19,8.6,Y
2014-04-20,9.2,Y
2014-04-21,10.5,Y
2014-04-22,7.6,Y
2014-04-23,4.3,Y
2014-04-24,6.3,Y
2014-04-25,7.8,Y
2014-04-26,9.9,Y
2014-04-27,11.1,Y
2014-04-28,11.9,Y
2014-04-29,6.6,Y
2014-04-30,4.3,Y
2014-05-01,2.8,Y
2014-05-02,4.5,Y
2014-05-03,4.6,Y
2014-05-04,3.3,Y
2014-05-05,2.6,Y
2014-05-06,4.2,Y
2014-05-07,5.8,Y
2014-05-08,4.5,Y
2014-05-09,6.9,Y
2014-05-10,6.2,Y
2014-05-11,7.4,Y
2014-05-12,7.8,Y
2014-05-13,8.0,Y
2014-05-14,7.5,Y
2014-05-15,8.0,Y
2014-05-16,14.0,Y
2014-05-17,16.2,Y
2014-05-18,16.2,Y
2014-05-19,12.3,Y
2014-05-20,15.7,Y
2014-05-21,16.0,Y
2014-05-22,19.5,Y
2014-05-23,21.2,Y
2014-05-24,21.3,Y
2014-05-25,19.4,Y
2014-05-26,9.5,Y
2014-05-27,7.0,Y
2014-05-28,6.5,Y
2014-05-29,8.5,Y
2014-05-30,7.9,Y
2014-05-31,9.9,Y
2014-06-01,11.0,Y
2014-06-02,11.0,Y
2014-06-03,10.9,Y
2014-06-04,15.1,Y
2014-06-05,16.0,Y
2014-06-06,16.3,Y
2014-06-07,16.6,Y
2014-06-08,15.9,Y
2014-06-09,17.3,Y
2014-06-10,16.1,Y
2014-06-11,16.1,Y
2014-06-12,16.1,Y
2014-06-13,12.6,Y
2014-06-14,11.5,Y
2014-06-15,13.6,Y
2014-06-16,11.7,Y
2014-06-17,9.1,Y
2014-06-18,14.2,Y
2014-06-19,11.0,Y
2014-06-20,9.8,Y
2014-06-21,8.9,Y
2014-06-22,7.8,Y
2014-06-23,8.6,Y
2014-06-24,10.8,Y
2014-06-25,10.8,Y
2014-06-26,10.3,Y
2014-06-27,9.8,Y
2014-06-28,11.8,Y
2014-06-29,12.2,Y
2014-06-30,11.4,Y
2014-07-01,13.4,Y
2014-07-02,14.8,Y
2014-07-03,14.2,Y
2014-07-04,16.4,Y
2014-07-05,18.4,Y
2014-07-06,18.0,Y
2014-07-07,20.3,Y
2014-07-08,21.1,Y
2014-07-09,21.8,Y
2014-07-10,19.3,Y
2014-07-11,16.9,Y
2014-07-12,16.7,Y
2014-07-13,17.4,Y
2014-07-14,18.9,Y
2014-07-15,18.6,Y
2014-07-16,19.6,Y
2014-07-17,19.2,Y
2014-07-18,19.8,Y
2014-07-19,17.2,Y
2014-07-20,19.1,Y
2014-07-21,21.2,Y
2014-07-22,22.4,Y
2014-07-23,22.0,Y
2014-07-24,22.4,Y
2014-07-25,23.2,Y
2014-07-26,23.7,Y
2014-07-27,20.7,Y
2014-07-28,22.5,Y
2014-07-29,22.0,Y
2014-07-30,21.5,Y
2014-07-31,21.0,Y
2014-08-01,20.3,Y
2014-08-02,20.1,Y
2014-08-03,21.0,Y
2014-08-04,24.3,Y
2014-08-05,22.6,Y
2014-08-06,22.8,Y
2014-08-07,19.0,Y
2014-08-08,20.7,Y
2014-08-09,21.0,Y
2014-08-10,20.5,Y
2014-08-11,16.5,Y
2014-08-12,16.1,Y
2014-08-13,16.0,Y
2014-08-14,15.3,Y
2014-08-15,15.4,Y
2014-08-16,15.3,Y
2014-08-17,15.1,Y
2014-08-18,15.3,Y
2014-08-19,12.8,Y
2014-08-20,13.7,Y
2014-08-21,13.6,Y
2014-08-22,13.7,Y
2014-08-23,11.2,Y
2014-08-24,12.1,Y
2014-08-25,10.3,Y
2014-08-26,12.2,Y
2014-08-27,14.3,Y
2014-08-28,13.0,Y
2014-08-29,13.6,Y
2014-08-30,11.2,Y
2014-08-31,10.5,Y
2014-09-01,11.9,Y
2014-09-02,13.5,Y
2014-09-03,15.7,Y
2014-09-04,16.6,Y
2014-09-05,15.4,Y
2014-09-06,13.8,Y
2014-09-07,14.2,Y
2014-09-08,15.7,Y
2014-09-09,14.6,Y
2014-09-10,12.8,Y
2014-09-11,13.2,Y
2014-09-12,12.2,Y
2014-09-13,10.8,Y
2014-09-14,11.2,Y
2014-09-15,11.2,Y
2014-09-16,12.6,Y
2014-09-17,10.2,Y
2014-09-18,11.3,Y
2014-09-19,11.8,Y
2014-09-20,10.8,Y
2014-09-21,11.9,Y
2014-09-22,8.3,Y
2014-09-23,3.3,Y
2014-09-24,3.1,Y
2014-09-25,5.4,Y
2014-09-26,9.2,Y
2014-09-27,11.3,Y
2014-09-28,12.1,Y
2014-09-29,11.3,Y
2014-09-30,5.3,Y
2014-10-01,4.7,Y
2014-10-02,9.9,Y
2014-10-03,10.7,Y
2014-10-04,11.3,Y
2014-10-05,11.5,Y
2014-10-06,7.4,Y
2014-10-07,8.2,Y
2014-10-08,10.3,Y
