Datum,Lufttemperatur,Kvalitet
2014-01-01,1.0,Y
2014-01-02,0.1,Y
2014-01-03,0.9,Y
2014-01-04,2.4,Y
2014-01-05,0.8,Y
2014-01-06,0.1,Y
2014-01-07,4.1,Y
2014-01-08,4.0,Y
2014-01-09,1.4,Y
2014-01-10,-4.5,Y
2014-01-11,-10.7,Y
2014-01-12,-13.8,Y
2014-01-13,-18.5,Y
2014-01-14,-11.1,Y
2014-01-15,-9.0,Y
2014-01-16,-7.9,Y
2014-01-17,-10.4,Y
2014-01-18,-9.8,Y
2014-01-19,-7.4,Y
2014-01-20,-7.8,Y
2014-01-21,-8.4,Y
2014-01-22,-10.8,Y
2014-01-23,-14.4,Y
2014-01-24,-11.7,Y
2014-01-25,-8.4,Y
2014-01-26,-7.8,Y
2014-01-27,-5.5,Y
2014-01-28,-4.1,Y
2014-01-29,-6.6,Y
2014-01-30,-7.2,Y
2014-01-31,-6.1,Y
2014-02-01,-5.3,Y
2014-02-02,0.2,Y
2014-02-03,0.9,Y
2014-02-04,-0.4,Y
2014-02-05,-1.9,Y
2014-02-06,-2.6,Y
2014-02-07,0.1,Y
2014-02-08,0.7,Y
2014-02-09,0.3,Y
2014-02-10,1.5,Y
2014-02-11,0.6,Y
2014-02-12,-0.3,Y
2014-02-13,-0.4,Y
2014-02-14,0.2,Y
2014-02-15,0.2,Y
2014-02-16,1.6,Y
2014-02-17,-0.8,Y
2014-02-18,-7.0,Y
2014-02-19,-6.4,Y
2014-02-20,-3.2,Y
2014-02-21,-1.0,Y
2014-02-22,1.2,Y
2014-02-23,2.9,Y
2014-02-24,4.7,Y
2014-02-25,1.8,Y
2014-02-26,0.5,Y
2014-02-27,0.6,Y
2014-02-28,0.4,Y
2014-03-01,-0.1,Y
2014-03-02,-0.6,Y
2014-03-03,-0.2,Y
2014-03-04,0.2,Y
2014-03-05,0.1,Y
2014-03-06,2.2,Y
2014-03-07,4.0,Y
2014-03-08,3.2,Y
2014-03-09,5.4,Y
2014-03-10,4.7,Y
2014-03-11,2.1,Y
2014-03-12,4.7,Y
2014-03-13,2.8,Y
2014-03-14,2.8,Y
2014-03-15,0.3,Y
2014-03-16,-4.2,Y
2014-03-17,0.6,Y
2014-03-18,-2.1,Y
2014-03-19,-6.6,Y
2014-03-20,0.8,Y
