Datum,Lufttemperatur,Kvalitet
2014-01-01,2.4,Y
2014-01-02,3.3,Y
2014-01-03,4.1,Y
2014-01-04,4.4,Y
2014-01-05,3.3,Y
2014-01-06,3.2,Y
2014-01-07,6.5,Y
2014-01-08,5.9,Y
2014-01-09,3.4,Y
2014-01-10,-0.1,Y
2014-01-11,1.7,Y
2014-01-12,-5.0,Y
2014-01-13,-10.2,Y
2014-01-14,-3.4,Y
2014-01-15,-3.2,Y
2014-01-16,-2.9,Y
2014-01-17,-3.9,Y
2014-01-18,-3.8,Y
2014-01-19,-3.8,Y
2014-01-20,-4.9,Y
2014-01-21,-5.1,Y
2014-01-22,-5.5,Y
2014-01-23,-6.3,Y
2014-01-24,-5.6,Y
2014-01-25,-7.0,Y
2014-01-26,-5.5,Y
2014-01-27,-3.1,Y
2014-01-28,-1.3,Y
2014-01-29,-3.6,Y
2014-01-30,-4.3,Y
2014-01-31,-4.2,Y
2014-02-01,-0.6,Y
2014-02-02,2.5,Y
2014-02-03,2.0,Y
2014-02-04,0.4,Y
2014-02-05,-0.7,Y
2014-02-06,1.0,Y
2014-02-07,2.5,Y
2014-02-08,3.2,Y
2014-02-09,2.6,Y
2014-02-10,3.0,Y
2014-02-11,1.5,Y
2014-02-12,1.2,Y
2014-02-13,1.8,Y
2014-02-14,1.5,Y
2014-02-15,3.4,Y
2014-02-16,3.7,Y
2014-02-17,3.3,Y
2014-02-18,0.4,Y
2014-02-19,0.4,Y
2014-02-20,-0.5,Y
2014-02-21,3.2,Y
2014-02-22,3.0,Y
2014-02-23,4.6,Y
2014-02-24,6.4,Y
2014-02-25,4.0,Y
2014-02-26,4.1,Y
2014-02-27,3.6,Y
2014-02-28,3.6,Y
2014-03-01,2.3,Y
2014-03-02,1.7,Y
2014-03-03,2.7,Y
2014-03-04,3.7,Y
2014-03-05,1.6,Y
2014-03-06,4.2,Y
2014-03-07,6.9,Y
2014-03-08,4.3,Y
2014-03-09,8.1,Y
2014-03-10,4.6,Y
2014-03-11,2.0,Y
2014-03-12,4.9,Y
2014-03-13,4.4,Y
2014-03-14,2.8,Y
2014-03-15,3.7,Y
2014-03-16,2.1,Y
2014-03-17,4.9,Y
2014-03-18,3.6,Y
2014-03-19,4.8,Y
2014-03-20,7.7,Y
2014-03-21,6.9,Y
2014-03-22,5.4,Y
2014-03-23,4.8,Y
2014-03-24,3.4,Y
2014-03-25,2.6,Y
2014-03-26,2.8,Y
2014-03-27,3.4,Y
2014-03-28,5.9,Y
2014-03-29,5.8,Y
2014-03-30,5.9,Y
2014-03-31,3.0,Y
2014-04-01,1.0,Y
2014-04-02,2.4,Y
2014-04-03,4.0,Y
2014-04-04,3.3,Y
2014-04-05,3.9,Y
2014-04-06,7.7,Y
2014-04-07,9.8,Y
2014-04-08,6.8,Y
2014-04-09,4.0,Y
2014-04-10,3.9,Y
2014-04-11,7.3,Y
2014-04-12,5.2,Y
2014-04-13,7.1,Y
2014-04-14,5.8,Y
2014-04-15,6.1,Y
2014-04-16,4.3,Y
2014-04-17,6.9,Y
2014-04-18,7.7,Y
2014-04-19,8.4,Y
2014-04-20,11.2,Y
2014-04-21,12.2,Y
2014-04-22,12.4,Y
2014-04-23,9.2,Y
2014-04-24,6.3,Y
2014-04-25,10.6,Y
2014-04-26,12.2,Y
2014-04-27,12.4,Y
2014-04-28,13.7,Y
2014-04-29,11.2,Y
2014-04-30,9.6,Y
2014-05-01,5.6,Y
2014-05-02,5.7,Y
2014-05-03,6.0,Y
2014-05-04,5.4,Y
2014-05-05,6.1,Y
2014-05-06,6.1,Y
2014-05-07,5.1,Y
2014-05-08,6.9,Y
2014-05-09,8.6,Y
2014-05-10,8.8,Y
2014-05-11,8.8,Y
2014-05-12,9.5,Y
2014-05-13,9.1,Y
2014-05-14,9.7,Y
2014-05-15,10.3,Y
2014-05-16,14.3,Y
2014-05-17,13.7,Y
2014-05-18,13.0,Y
2014-05-19,13.0,Y
2014-05-20,14.3,Y
2014-05-21,17.4,Y
2014-05-22,21.8,Y
2014-05-23,22.6,Y
2014-05-24,18.5,Y
2014-05-25,15.7,Y
2014-05-26,15.2,Y
2014-05-27,11.0,Y
2014-05-28,9.3,Y
2014-05-29,11.7,Y
2014-05-30,13.8,Y
2014-05-31,14.1,Y
2014-06-01,16.3,Y
2014-06-02,15.6,Y
2014-06-03,13.5,Y
2014-06-04,14.6,Y
2014-06-05,15.9,Y
2014-06-06,14.1,Y
2014-06-07,14.7,Y
2014-06-08,16.9,Y
2014-06-09,17.9,Y
2014-06-10,19.4,Y
2014-06-11,18.6,Y
2014-06-12,16.0,Y
2014-06-13,14.4,Y
2014-06-14,14.4,Y
2014-06-15,15.6,Y
2014-06-16,14.5,Y
2014-06-17,13.0,Y
2014-06-18,16.3,Y
2014-06-19,16.1,Y
2014-06-20,11.6,Y
2014-06-21,11.5,Y
2014-06-22,11.3,Y
2014-06-23,12.3,Y
2014-06-24,14.8,Y
2014-06-25,15.7,Y
2014-06-26,14.9,Y
2014-06-27,12.3,Y
2014-06-28,11.3,Y
2014-06-29,13.5,Y
2014-06-30,14.6,Y
2014-07-01,13.8,Y
2014-07-02,15.7,Y
2014-07-03,13.9,Y
2014-07-04,16.8,Y
2014-07-05,20.3,Y
2014-07-06,21.6,Y
2014-07-07,20.9,Y
2014-07-08,22.6,Y
2014-07-09,22.7,Y
2014-07-10,21.2,Y
2014-07-11,21.1,Y
2014-07-12,16.8,Y
2014-07-13,17.4,Y
2014-07-14,17.0,Y
2014-07-15,16.5,Y
2014-07-16,16.3,Y
2014-07-17,16.6,Y
2014-07-18,18.6,Y
2014-07-19,19.3,Y
2014-07-20,19.9,Y
2014-07-21,21.9,Y
2014-07-22,21.9,Y
2014-07-23,22.0,Y
2014-07-24,22.6,Y
2014-07-25,23.4,Y
2014-07-26,21.8,Y
2014-07-27,20.9,Y
2014-07-28,21.4,Y
2014-07-29,21.7,Y
2014-07-30,19.3,Y
2014-07-31,17.5,Y
2014-08-01,19.2,Y
2014-08-02,21.0,Y
2014-08-03,22.0,Y
2014-08-04,20.5,Y
2014-08-05,17.0,Y
2014-08-06,17.2,Y
2014-08-07,17.8,Y
2014-08-08,17.9,Y
2014-08-09,17.7,Y
2014-08-10,17.2,Y
2014-08-11,16.7,Y
2014-08-12,13.7,Y
2014-08-13,13.9,Y
2014-08-14,14.7,Y
2014-08-15,16.0,Y
2014-08-16,14.1,Y
2014-08-17,13.0,Y
2014-08-18,12.8,Y
2014-08-19,11.7,Y
2014-08-20,13.9,Y
2014-08-21,12.6,Y
2014-08-22,11.8,Y
2014-08-23,12.5,Y
2014-08-24,10.2,Y
2014-08-25,11.1,Y
2014-08-26,11.4,Y
2014-08-27,12.2,Y
2014-08-28,12.4,Y
2014-08-29,12.8,Y
2014-08-30,13.5,Y
2014-08-31,13.5,Y
2014-09-01,13.0,Y
2014-09-02,14.0,Y
2014-09-03,15.6,Y
2014-09-04,14.8,Y
2014-09-05,14.5,Y
2014-09-06,16.7,Y
2014-09-07,16.2,Y
2014-09-08,14.4,Y
2014-09-09,11.5,Y
2014-09-10,12.4,Y
2014-09-11,13.4,Y
2014-09-12,14.2,Y
2014-09-13,12.9,Y
2014-09-14,12.3,Y
2014-09-15,12.3,Y
2014-09-16,11.6,Y
2014-09-17,11.5,Y
2014-09-18,12.0,Y
2014-09-19,11.6,Y
2014-09-20,11.3,Y
2014-09-21,10.5,Y
2014-09-22,6.9,Y
2014-09-23,4.8,Y
2014-09-24,8.8,Y
2014-09-25,8.7,Y
2014-09-26,11.6,Y
2014-09-27,11.3,Y
2014-09-28,12.6,Y
2014-09-29,11.3,Y
2014-09-30,7.8,Y
2014-10-01,9.6,Y
2014-10-02,12.5,Y
2014-10-03,10.6,Y
2014-10-04,14.4,Y
2014-10-05,10.7,Y
2014-10-06,9.8,Y
2014-10-07,8.7,Y
2014-10-08,10.1,Y
2014-10-09,11.7,Y
2014-10-10,11.3,Y
2014-10-11,10.0,Y
2014-10-12,9.0,Y
2014-10-13,7.2,Y
2014-10-14,6.3,Y
2014-10-15,7.4,Y
2014-10-16,5.9,Y
2014-10-17,6.0,Y
2014-10-18,8.0,Y
2014-10-19,13.3,Y
2014-10-20,10.6,Y
2014-10-21,9.9,Y
2014-10-22,6.3,Y
2014-10-23,5.3,Y
2014-10-24,9.0,Y
2014-10-25,9.7,Y
2014-10-26,10.7,Y
2014-10-27,12.5,Y
2014-10-28,12.6,Y
2014-10-29,7.9,Y
2014-10-30,2.5,Y
2014-10-31,5.3,Y
2014-11-01,10.0,Y
2014-11-02,11.8,Y
2014-11-03,10.5,Y
2014-11-04,8.4,Y
2014-11-05,3.6,Y
2014-11-06,0.4,Y
2014-11-07,1.4,Y
2014-11-08,6.1,Y
2014-11-09,7.3,Y
2014-11-10,7.4,Y
2014-11-11,6.5,Y
2014-11-12,6.0,Y
2014-11-13,7.1,Y
2014-11-14,6.4,Y
2014-11-15,5.8,Y
2014-11-16,4.9,Y
2014-11-17,4.7,Y
2014-11-18,4.2,Y
2014-11-19,2.5,Y
2014-11-20,2.4,Y
2014-11-21,2.7,Y
2014-11-22,2.4,Y
2014-11-23,4.8,Y
2014-11-24,5.9,Y
2014-11-25,1.7,Y
2014-11-26,2.2,Y
2014-11-27,0.1,Y
2014-11-28,0.4,Y
2014-11-29,0.1,Y
2014-11-30,-1.0,Y
2014-12-01,-1.3,Y
2014-12-02,-0.4,Y
2014-12-03,0.5,Y
2014-12-04,0.1,Y
2014-12-05,0.5,Y
2014-12-06,2.1,Y
2014-12-07,2.9,Y
2014-12-08,1.0,Y
2014-12-09,1.8,Y
2014-12-10,2.1,Y
2014-12-11,2.1,Y
2014-12-12,1.1,Y
2014-12-13,1.3,Y
2014-12-14,1.7,Y
2014-12-15,2.5,Y
2014-12-16,0.4,Y
2014-12-17,-0.1,Y
2014-12-18,3.7,Y
2014-12-19,3.5,Y
2014-12-20,0.9,Y
2014-12-21,-1.2,Y
2014-12-22,4.4,Y
2014-12-23,2.6,Y
2014-12-24,-1.2,Y
2014-12-25,-8.5,Y
2014-12-26,-6.2,Y
2014-12-27,-6.3,Y
2014-12-28,-9.3,Y
2014-12-29,-6.0,Y
2014-12-30,-0.6,Y
2014-12-31,1.8,Y
2015-01-01,4.8,Y
2015-01-02,4.9,Y
2015-01-03,0.7,Y
2015-01-04,-1.6,Y
2015-01-05,-4.7,Y
2015-01-06,-0.0,Y
2015-01-07,0.3,Y
2015-01-08,3.9,Y
2015-01-09,1.1,Y
2015-01-10,1.9,Y
2015-01-11,-0.7,Y
2015-01-12,2.7,Y
2015-01-13,2.4,Y
2015-01-14,0.6,Y
2015-01-15,1.6,Y
2015-01-16,3.5,Y
2015-01-17,1.6,Y
2015-01-18,1.0,Y
2015-01-19,-0.2,Y
2015-01-20,-0.1,Y
2015-01-21,-1.8,Y
2015-01-22,-2.0,Y
2015-01-23,-3.6,Y
2015-01-24,-1.3,Y
2015-01-25,-1.1,Y
2015-01-26,0.1,Y
2015-01-27,-0.2,Y
2015-01-28,1.8,Y
2015-01-29,0.6,Y
2015-01-30,-0.7,Y
2015-01-31,-0.4,Y
2015-02-01,-1.8,Y
2015-02-02,-5.1,Y
2015-02-03,-6.0,Y
2015-02-04,-5.5,Y
2015-02-05,-4.8,Y
2015-02-06,-1.2,Y
2015-02-07,0.9,Y
2015-02-08,-0.6,Y
2015-02-09,1.4,Y
2015-02-10,0.9,Y
2015-02-11,0.3,Y
2015-02-12,1.6,Y
2015-02-13,0.2,Y
2015-02-14,-1.2,Y
2015-02-15,-0.3,Y
2015-02-16,-0.7,Y
2015-02-17,0.3,Y
2015-02-18,4.1,Y
2015-02-19,4.2,Y
2015-02-20,1.5,Y
2015-02-21,0.8,Y
2015-02-22,1.4,Y
2015-02-23,1.4,Y
2015-02-24,2.4,Y
2015-02-25,3.1,Y
2015-02-26,3.1,Y
2015-02-27,2.4,Y
2015-02-28,0.9,Y
2015-03-01,2.0,Y
2015-03-02,3.2,Y
2015-03-03,2.2,Y
2015-03-04,1.5,Y
2015-03-05,0.9,Y
2015-03-06,5.1,Y
2015-03-07,5.0,Y
2015-03-08,7.2,Y
2015-03-09,3.9,Y
2015-03-10,5.5,Y
