Datum,Lufttemperatur,Kvalitet
2014-01-01,2.0,Y
2014-01-02,3.5,Y
2014-01-03,3.8,Y
2014-01-04,4.7,Y
2014-01-05,2.1,Y
2014-01-06,3.6,Y
2014-01-07,6.2,Y
2014-01-08,5.8,Y
2014-01-09,5.3,Y
2014-01-10,-0.3,Y
2014-01-11,-3.0,Y
2014-01-12,-7.5,Y
2014-01-13,-11.5,Y
2014-01-14,-5.6,Y
2014-01-15,-5.1,Y
2014-01-16,-4.9,Y
2014-01-17,-6.5,Y
2014-01-18,-4.9,Y
2014-01-19,-3.7,Y
2014-01-20,-4.8,Y
2014-01-21,-5.1,Y
2014-01-22,-6.3,Y
2014-01-23,-9.2,Y
2014-01-24,-4.9,Y
2014-01-25,-4.6,Y
2014-01-26,-3.5,Y
2014-01-27,-2.4,Y
2014-01-28,-1.6,Y
2014-01-29,-2.9,Y
2014-01-30,-4.1,Y
2014-01-31,-4.0,Y
2014-02-01,-0.8,Y
2014-02-02,1.2,Y
2014-02-03,1.9,Y
2014-02-04,0.5,Y
2014-02-05,-0.1,Y
2014-02-06,0.0,Y
2014-02-07,1.5,Y
2014-02-08,2.0,Y
2014-02-09,2.4,Y
2014-02-10,2.5,Y
2014-02-11,0.6,Y
2014-02-12,1.3,Y
2014-02-13,0.7,Y
2014-02-14,1.3,Y
2014-02-15,1.7,Y
2014-02-16,4.2,Y
2014-02-17,3.7,Y
2014-02-18,0.0,Y
2014-02-19,-0.5,Y
2014-02-20,-0.4,Y
2014-02-21,1.8,Y
2014-02-22,2.9,Y
2014-02-23,5.7,Y
2014-02-24,6.7,Y
2014-02-25,2.6,Y
2014-02-26,1.9,Y
2014-02-27,2.1,Y
2014-02-28,2.4,Y
2014-03-01,1.5,Y
2014-03-02,0.9,Y
2014-03-03,1.8,Y
2014-03-04,3.2,Y
2014-03-05,2.6,Y
2014-03-06,2.8,Y
2014-03-07,8.3,Y
2014-03-08,6.0,Y
2014-03-09,9.9,Y
2014-03-10,6.5,Y
2014-03-11,4.7,Y
2014-03-12,5.9,Y
2014-03-13,5.7,Y
2014-03-14,5.7,Y
2014-03-15,2.6,Y
2014-03-16,0.3,Y
2014-03-17,2.5,Y
2014-03-18,0.9,Y
2014-03-19,-0.8,Y
2014-03-20,5.3,Y
2014-03-21,8.8,Y
2014-03-22,5.6,Y
2014-03-23,4.5,Y
2014-03-24,2.6,Y
2014-03-25,3.3,Y
2014-03-26,2.7,Y
2014-03-27,5.5,Y
2014-03-28,5.6,Y
2014-03-29,6.0,Y
2014-03-30,5.8,Y
2014-03-31,3.4,Y
2014-04-01,1.8,Y
2014-04-02,2.2,Y
2014-04-03,3.6,Y
2014-04-04,2.1,Y
2014-04-05,4.0,Y
2014-04-06,7.8,Y
2014-04-07,9.3,Y
2014-04-08,5.5,Y
2014-04-09,3.0,Y
2014-04-10,3.4,Y
2014-04-11,7.5,Y
2014-04-12,6.5,Y
2014-04-13,8.6,Y
2014-04-14,6.8,Y
2014-04-15,7.2,Y
2014-04-16,6.7,Y
2014-04-17,9.2,Y
2014-04-18,8.6,Y
2014-04-19,9.7,Y
2014-04-20,10.0,Y
2014-04-21,12.2,Y
2014-04-22,11.5,Y
2014-04-23,8.1,Y
2014-04-24,6.0,Y
2014-04-25,7.3,Y
2014-04-26,9.1,Y
2014-04-27,11.5,Y
2014-04-28,14.1,Y
2014-04-29,10.9,Y
2014-04-30,6.8,Y
2014-05-01,4.7,Y
2014-05-02,5.8,Y
2014-05-03,6.3,Y
2014-05-04,5.6,Y
2014-05-05,5.4,Y
2014-05-06,4.4,Y
2014-05-07,4.2,Y
2014-05-08,6.3,Y
2014-05-09,8.8,Y
2014-05-10,7.9,Y
2014-05-11,7.6,Y
2014-05-12,8.4,Y
2014-05-13,10.4,Y
2014-05-14,8.8,Y
2014-05-15,9.9,Y
2014-05-16,14.4,Y
2014-05-17,15.4,Y
2014-05-18,14.8,Y
2014-05-19,13.3,Y
2014-05-20,15.3,Y
2014-05-21,18.6,Y
2014-05-22,19.7,Y
2014-05-23,20.1,Y
2014-05-24,20.3,Y
2014-05-25,18.6,Y
2014-05-26,15.5,Y
2014-05-27,9.2,Y
2014-05-28,8.2,Y
2014-05-29,11.8,Y
2014-05-30,11.7,Y
2014-05-31,14.2,Y
2014-06-01,15.1,Y
2014-06-02,14.2,Y
2014-06-03,12.6,Y
2014-06-04,13.3,Y
2014-06-05,15.3,Y
2014-06-06,16.8,Y
2014-06-07,14.2,Y
2014-06-08,18.2,Y
2014-06-09,19.6,Y
2014-06-10,20.6,Y
2014-06-11,19.2,Y
2014-06-12,17.1,Y
2014-06-13,14.6,Y
2014-06-14,13.0,Y
2014-06-15,14.6,Y
2014-06-16,13.8,Y
2014-06-17,13.5,Y
2014-06-18,17.8,Y
2014-06-19,13.2,Y
2014-06-20,11.3,Y
2014-06-21,11.4,Y
2014-06-22,10.6,Y
2014-06-23,10.6,Y
2014-06-24,14.6,Y
2014-06-25,12.6,Y
2014-06-26,13.5,Y
2014-06-27,13.4,Y
2014-06-28,11.9,Y
2014-06-29,14.0,Y
2014-06-30,13.6,Y
