Datum,Tid (UTC),Snödjup,Kvalitet
2014-01-02,06:00:00,0.09,G
2014-01-03,06:00:00,0.14,G
2014-01-07,06:00:00,0.24,G
2014-01-10,06:00:00,0.1,G
2014-01-15,06:00:00,0.2,G
2014-01-17,06:00:00,0.27,G
2014-01-20,06:00:00,0.35,G
2014-01-21,06:00:00,0.38,G
2014-01-22,06:00:00,0.35,G
2014-01-29,06:00:00,0.36,G
2014-01-31,06:00:00,0.44,G
2014-02-03,06:00:00,0.37,G
2014-02-06,06:00:00,0.32,G
2014-02-10,06:00:00,0.47,G
2014-02-14,06:00:00,0.47,G
2014-02-17,06:00:00,0.47,G
2014-02-27,06:00:00,0.35,G
2014-03-05,06:00:00,0.4,G
2014-03-14,06:00:00,0.28,G
2014-03-20,06:00:00,0.36,G
2014-03-24,06:00:00,0.27,G
2014-03-25,06:00:00,0.26,G
2014-03-28,06:00:00,0.26,G
2014-04-22,06:00:00,0.0,G
2014-04-28,06:00:00,0.0,G
2014-04-29,06:00:00,0.0,G
2014-05-06,06:00:00,0.0,G
2014-05-09,06:00:00,0.0,G
2014-12-12,06:00:00,0.09,G
2014-12-15,06:00:00,0.06,G
2014-12-22,06:00:00,0.1,G
2014-12-30,06:00:00,0.21,G
2015-01-05,06:00:00,0.1,G
2015-01-08,06:00:00,0.22,G
2015-01-12,06:00:00,0.4,G
2015-01-22,06:00:00,0.38,G
2015-01-23,06:00:00,0.4,G
2015-01-26,06:00:00,0.38,G
2015-01-30,06:00:00,0.48,G
2015-02-02,06:00:00,0.44,G
2015-02-11,06:00:00,0.42,G
2015-02-25,06:00:00,0.35,G
2015-02-26,06:00:00,0.34,G
2015-03-03,06:00:00,0.36,G
2015-03-10,06:00:00,0.3,G
2015-03-25,06:00:00,0.28,G
2015-03-30,06:00:00,0.48,G
2015-04-09,06:00:00,0.3,G
2015-04-17,06:00:00,0.0,G
2015-04-21,06:00:00,0.0,G
2015-04-27,06:00:00,0.0,G
2015-04-28,06:00:00,0.0,G
2015-11-18,06:00:00,0.08,G
2015-11-27,06:00:00,0.03,G
2015-12-01,06:00:00,0.0,G
2015-12-07,06:00:00,0.0,G
2015-12-09,06:00:00,0.0,G
2015-12-17,06:00:00,0.0,G
2015-12-18,06:00:00,0.0,G
2015-12-21,06:00:00,0.0,G
2015-12-23,06:00:00,0.0,G
2016-01-05,06:00:00,0.08,G
2016-01-11,06:00:00,0.24,G
2016-01-20,06:00:00,0.18,G
2016-01-26,06:00:00,0.18,G
2016-01-28,06:00:00,0.19,G
2016-02-01,06:00:00,0.16,G
2016-02-05,06:00:00,0.18,G
2016-02-08,06:00:00,0.14,G
2016-02-22,06:00:00,0.2,G
2016-03-09,06:00:00,0.29,G
2016-03-14,06:00:00,0.26,G
2016-03-15,06:00:00,0.23,G
2016-03-29,06:00:00,0.0,G
2016-04-04,06:00:00,0.0,G
2016-04-05,06:00:00,0.0,G
2016-04-06,06:00:00,0.0,G
2016-04-07,06:00:00,0.0,G
2016-04-14,06:00:00,0.0,G
2016-11-07,06:00:00,0.1,G
2016-11-28,06:00:00,0.06,G
2016-12-05,06:00:00,0.06,G
2017-01-16,06:00:00,0.32,G
2017-01-30,06:00:00,0.34,G
2017-02-21,06:00:00,0.32,G
2017-03-01,06:00:00,0.37,G
2017-03-13,06:00:00,0.33,G
2017-04-11,06:00:00,0.0,G
2017-04-24,06:00:00,0.0,G
2017-12-05,06:00:00,0.14,G
2017-12-11,06:00:00,0.16,G
2017-12-13,06:00:00,0.14,G
2017-12-15,06:00:00,0.18,G
2017-12-18,06:00:00,0.19,G
2017-12-20,06:00:00,0.2,G
2017-12-21,06:00:00,0.3,G
2018-01-02,06:00:00,0.46,G
2018-01-03,06:00:00,0.46,G
2018-01-04,06:00:00,0.46,G
2018-01-05,06:00:00,0.46,G
2018-01-15,06:00:00,0.46,G
2018-01-17,06:00:00,0.52,G
2018-01-19,06:00:00,0.62,G
2018-01-24,06:00:00,0.6,G
2018-01-25,06:00:00,0.58,G
2018-01-26,06:00:00,0.58,G
2018-01-29,06:00:00,0.59,G
2018-01-30,06:00:00,0.6,G
2018-01-31,06:00:00,0.62,G
2018-02-01,06:00:00,0.61,G
2018-02-05,06:00:00,0.61,G
2018-02-07,06:00:00,0.62,G
2018-02-16,06:00:00,0.62,G
2018-02-19,06:00:00,0.67,G
2018-02-22,06:00:00,0.63,G
2018-02-26,06:00:00,0.73,G
2018-03-05,06:00:00,0.7,G
2018-03-06,06:00:00,0.72,G
2018-03-07,06:00:00,0.72,G
2018-03-12,06:00:00,0.74,G
2018-03-13,06:00:00,0.76,G
2018-03-20,06:00:00,0.76,G
2018-03-26,06:00:00,0.6,G
2018-03-29,06:00:00,0.6,G
2018-04-05,06:00:00,0.64,G
2018-04-06,06:00:00,0.64,G
2018-04-09,06:00:00,0.64,G
2018-04-10,06:00:00,0.64,G
2018-04-12,06:00:00,0.62,G
2018-04-13,06:00:00,0.6,G
2018-04-16,06:00:00,0.53,G
2018-04-17,06:00:00,0.43,G
2018-04-18,06:00:00,0.44,G
2018-04-19,06:00:00,0.38,G
2018-04-23,06:00:00,0.13,G
2018-04-24,06:00:00,0.1,G
2018-04-25,06:00:00,0.0,G
2018-04-27,06:00:00,0.0,G
2018-04-30,06:00:00,0.0,G
2018-12-20,06:00:00,0.22,G
2019-01-10,06:00:00,0.26,G
2019-01-17,06:00:00,0.32,G
2019-01-21,06:00:00,0.32,G
