Datum,Tid (UTC),Snödjup,Kvalitet
2014-01-01,06:00:00,0.0,G
2014-01-02,06:00:00,0.0,G
2014-01-03,06:00:00,0.0,G
2014-01-04,06:00:00,0.0,G
2014-01-05,06:00:00,0.0,G
2014-01-06,06:00:00,0.0,G
2014-01-07,06:00:00,0.0,G
2014-01-08,06:00:00,0.0,G
2014-01-09,06:00:00,0.0,G
2014-01-11,06:00:00,0.02,G
2014-01-13,06:00:00,0.04,G
2014-01-19,06:00:00,0.07,G
2014-03-01,06:00:00,0.0,G
2014-03-02,06:00:00,0.0,G
2014-03-03,06:00:00,0.0,G
2014-03-04,06:00:00,0.0,G
2014-03-05,06:00:00,0.0,G
2014-03-06,06:00:00,0.0,G
2014-03-07,06:00:00,0.0,G
2014-03-08,06:00:00,0.0,G
2014-03-09,06:00:00,0.0,G
2014-03-10,06:00:00,0.0,G
2014-03-11,06:00:00,0.0,G
2014-03-12,06:00:00,0.0,G
2014-03-13,06:00:00,0.0,G
2014-03-14,06:00:00,0.0,G
2014-03-15,06:00:00,0.0,G
2014-03-16,06:00:00,0.0,G
2014-03-18,06:00:00,0.0,G
2014-03-19,06:00:00,0.0,G
2014-03-20,06:00:00,0.0,G
2014-03-21,06:00:00,0.07,G
2014-03-22,06:00:00,0.0,G
2014-03-23,06:00:00,0.0,G
2014-03-26,06:00:00,0.0,G
2014-03-27,06:00:00,0.0,G
2014-03-28,06:00:00,0.0,G
2014-03-29,06:00:00,0.0,G
2014-03-30,06:00:00,0.0,G
2014-03-31,06:00:00,0.0,G
2014-04-01,06:00:00,0.0,G
2014-04-02,06:00:00,0.0,G
2014-04-03,06:00:00,0.0,G
2014-04-04,06:00:00,0.0,G
2014-04-05,06:00:00,0.0,G
2014-04-06,06:00:00,0.0,G
2014-04-07,06:00:00,0.0,G
2014-04-08,06:00:00,0.0,G
2014-04-09,06:00:00,0.0,G
2014-04-10,06:00:00,0.0,G
2014-04-11,06:00:00,0.0,G
2014-04-12,06:00:00,0.0,G
2014-04-13,06:00:00,0.0,G
2014-04-14,06:00:00,0.0,G
2014-04-15,06:00:00,0.0,G
2014-04-16,06:00:00,0.0,G
2014-04-17,06:00:00,0.0,G
2014-04-18,06:00:00,0.0,G
2014-04-19,06:00:00,0.0,G
2014-04-20,06:00:00,0.0,G
2014-04-21,06:00:00,0.0,G
2014-04-22,06:00:00,0.0,G
2014-04-23,06:00:00,0.0,G
2014-04-24,06:00:00,0.0,G
2014-04-25,06:00:00,0.0,G
2014-04-26,06:00:00,0.0,G
2014-04-27,06:00:00,0.0,G
2014-04-28,06:00:00,0.0,G
2014-04-29,06:00:00,0.0,G
2014-04-30,06:00:00,0.0,G
2014-05-01,06:00:00,0.0,G
2014-05-02,06:00:00,0.0,G
2014-05-03,06:00:00,0.0,G
2014-05-04,06:00:00,0.0,G
2014-05-05,06:00:00,0.0,G
2014-05-06,06:00:00,0.0,G
2014-05-07,06:00:00,0.0,G
2014-05-08,06:00:00,0.0,G
2014-05-09,06:00:00,0.0,G
2014-05-10,06:00:00,0.0,G
2014-05-11,06:00:00,0.0,G
