Datum,Tid (UTC),Snödjup,Kvalitet
2014-01-10,06:00:00,0.01,G
2014-01-11,06:00:00,0.17,G
2014-01-12,06:00:00,0.17,G
2014-01-13,06:00:00,0.35,G
2014-01-14,06:00:00,0.3,G
2014-01-15,06:00:00,0.25,G
2014-01-16,06:00:00,0.2,G
2014-01-17,06:00:00,0.18,G
2014-01-18,06:00:00,0.18,G
2014-01-19,06:00:00,0.2,G
2014-01-20,06:00:00,0.2,G
2014-01-21,06:00:00,0.2,G
2014-01-22,06:00:00,0.2,G
2014-01-23,06:00:00,0.2,G
2014-01-24,06:00:00,0.2,G
2014-01-25,06:00:00,0.19,G
2014-01-26,06:00:00,0.18,G
2014-01-27,06:00:00,0.18,G
2014-01-28,06:00:00,0.18,G
2014-01-29,06:00:00,0.17,G
2014-01-30,06:00:00,0.17,G
2014-01-31,06:00:00,0.17,G
2014-02-01,06:00:00,0.23,G
2014-02-02,06:00:00,0.22,G
2014-02-03,06:00:00,0.18,G
2014-02-04,06:00:00,0.16,G
2014-02-05,06:00:00,0.15,G
2014-02-06,06:00:00,0.14,G
2014-02-07,06:00:00,0.14,G
2014-02-08,06:00:00,0.1,G
2014-02-09,06:00:00,0.08,G
2014-02-10,06:00:00,0.05,G
2014-02-11,06:00:00,0.02,G
2014-02-12,06:00:00,0.01,G
2014-02-20,06:00:00,0.03,G
2014-02-21,06:00:00,0.08,G
2014-03-15,06:00:00,0.09,G
2014-03-16,06:00:00,0.07,G
2014-03-17,06:00:00,0.1,G
2014-03-18,06:00:00,0.19,G
2014-03-19,06:00:00,0.16,G
2014-03-20,06:00:00,0.23,G
2014-03-21,06:00:00,0.13,G
2014-03-22,06:00:00,0.03,G
2014-04-01,06:00:00,0.02,G
2014-05-01,06:00:00,0.1,G
