Datum,Tid (UTC),Snödjup,Kvalitet
2014-01-15,06:00:00,0.15,G
2014-01-31,06:00:00,0.4,G
2014-02-01,06:00:00,0.4,G
2014-02-28,06:00:00,0.0,G
2014-03-15,06:00:00,0.0,G
2014-03-31,06:00:00,0.0,G
2014-12-31,06:00:00,0.0,G
2015-01-15,06:00:00,0.15,G
2015-01-25,06:00:00,0.0,G
2015-01-31,06:00:00,0.5,G
2015-02-15,06:00:00,0.35,G
2015-02-28,06:00:00,0.2,G
2015-03-15,06:00:00,0.0,G
2015-03-31,06:00:00,0.0,G
2016-01-01,06:00:00,0.02,G
2016-01-15,06:00:00,0.18,G
2016-01-31,06:00:00,0.01,G
2016-02-01,06:00:00,0.0,G
2016-02-15,06:00:00,0.09,G
2016-02-29,06:00:00,0.1,G
2016-03-15,06:00:00,0.0,G
2016-03-31,06:00:00,0.0,G
2016-12-15,06:00:00,0.17,G
2016-12-31,06:00:00,0.0,G
2017-01-15,06:00:00,0.2,G
2017-01-31,06:00:00,0.0,G
2017-02-15,06:00:00,0.0,G
2017-02-28,06:00:00,0.1,G
2017-03-15,06:00:00,0.0,G
2017-03-31,06:00:00,0.0,G
2017-12-31,06:00:00,0.08,G
2018-01-15,06:00:00,0.07,G
2018-01-31,06:00:00,0.6,G
2018-02-15,06:00:00,0.65,G
2018-02-28,06:00:00,0.65,G
2018-03-15,06:00:00,0.65,G
2018-03-31,06:00:00,0.6,G
2018-04-15,06:00:00,0.15,G
2018-12-14,06:00:00,0.1,G
2019-01-15,06:00:00,0.15,G
2019-01-31,06:00:00,0.32,G
2019-02-01,06:00:00,0.32,G
2019-02-15,06:00:00,0.25,G
2019-02-28,06:00:00,0.15,G
2019-03-15,06:00:00,0.1,G
2019-03-31,06:00:00,0.0,G
2019-11-15,06:00:00,0.05,G
2019-11-30,06:00:00,0.03,G
2020-04-30,06:00:00,0.0,G
2020-12-01,06:00:00,0.1,G
2020-12-15,06:00:00,0.0,G
2020-12-31,06:00:00,0.0,G
2021-01-15,06:00:00,0.25,G
2021-01-31,06:00:00,0.28,G
2021-02-15,06:00:00,0.25,G
2021-02-28,06:00:00,0.0,G
2021-03-15,06:00:00,0.2,G
2021-03-31,06:00:00,0.0,G
2021-04-01,06:00:00,0.0,G
2021-04-15,06:00:00,0.0,G
2021-04-30,06:00:00,0.0,G
2021-10-31,06:00:00,0.0,G
2021-11-15,06:00:00,0.0,G
2021-11-30,06:00:00,0.0,G
2021-12-31,06:00:00,0.0,G
2022-01-31,06:00:00,0.02,G
2022-02-15,06:00:00,0.06,G
2022-02-28,06:00:00,0.07,G
2022-03-15,06:00:00,0.0,G
2022-03-31,06:00:00,0.0,G
2022-07-31,06:00:00,0.0,Y
2022-08-09,06:00:00,0.0,Y
2022-09-03,06:00:00,0.0,G
2022-09-29,06:00:00,0.0,G
2022-09-30,06:00:00,0.0,G
2022-10-27,06:00:00,0.0,G
2022-11-05,06:00:00,0.0,G
2022-11-15,06:00:00,0.0,G
2022-11-28,06:00:00,0.0,G
2022-12-05,06:00:00,0.0,G
2022-12-15,06:00:00,0.05,G
2023-01-13,06:00:00,0.01,G
2023-01-15,06:00:00,0.15,G
2023-01-23,06:00:00,0.0,G
2023-01-31,06:00:00,0.0,G
2023-02-15,06:00:00,0.0,G
2023-04-15,06:00:00,0.0,G
2023-06-24,06:00:00,0.0,G
2023-07-05,06:00:00,0.0,G
2023-07-13,06:00:00,0.0,G
2023-09-01,06:00:00,0.0,Y
2023-09-02,06:00:00,0.0,G
2023-09-03,06:00:00,0.0,G
2023-09-04,06:00:00,0.0,G
2023-09-05,06:00:00,0.0,G
2023-09-06,06:00:00,0.0,G
2023-09-07,06:00:00,0.0,G
2023-09-08,06:00:00,0.0,G
2023-09-09,06:00:00,0.0,G
2023-09-10,06:00:00,0.0,G
2023-09-11,06:00:00,0.0,G
2023-09-12,06:00:00,0.0,G
2023-09-13,06:00:00,0.0,G
2023-09-14,06:00:00,0.0,G
2023-09-15,06:00:00,0.0,G
2023-09-16,06:00:00,0.0,G
2023-09-17,06:00:00,0.0,G
