Datum,Tid (UTC),Snödjup,Kvalitet
2014-06-01,06:00:00,0.0,G
2014-06-02,06:00:00,0.0,G
2014-06-03,06:00:00,0.0,G
2014-06-04,06:00:00,0.0,G
2014-06-05,06:00:00,0.0,G
2014-06-06,06:00:00,0.0,G
2014-06-07,06:00:00,0.0,G
2014-06-10,06:00:00,0.0,G
2014-06-11,06:00:00,0.0,G
2014-06-12,06:00:00,0.0,G
2014-06-13,06:00:00,0.0,G
2014-06-14,06:00:00,0.0,G
2014-06-15,06:00:00,0.0,G
2014-06-16,06:00:00,0.0,G
2014-06-17,06:00:00,0.0,G
2014-06-18,06:00:00,0.0,G
2014-06-19,06:00:00,0.0,G
2014-06-20,06:00:00,0.0,G
2014-06-21,06:00:00,0.0,G
2014-06-22,06:00:00,0.0,G
2014-06-23,06:00:00,0.0,G
2014-06-24,06:00:00,0.0,G
2014-06-25,06:00:00,0.0,G
2014-06-26,06:00:00,0.0,G
2014-06-27,06:00:00,0.0,G
2014-06-28,06:00:00,0.0,G
2014-06-29,06:00:00,0.0,G
2014-06-30,06:00:00,0.0,G
2014-07-01,06:00:00,0.0,G
2014-07-02,06:00:00,0.0,G
2014-07-03,06:00:00,0.0,G
2014-07-04,06:00:00,0.0,G
2014-07-05,06:00:00,0.0,G
2014-07-06,06:00:00,0.0,G
2014-07-07,06:00:00,0.0,G
2014-07-08,06:00:00,0.0,G
2014-07-09,06:00:00,0.0,G
2014-07-10,06:00:00,0.0,G
2014-07-11,06:00:00,0.0,G
2014-07-12,06:00:00,0.0,G
2014-07-13,06:00:00,0.0,G
2014-07-14,06:00:00,0.0,G
2014-07-15,06:00:00,0.0,G
2014-07-16,06:00:00,0.0,G
2014-07-17,06:00:00,0.0,G
2014-07-18,06:00:00,0.0,G
2014-07-19,06:00:00,0.0,G
2014-07-20,06:00:00,0.0,G
2014-07-21,06:00:00,0.0,G
2014-07-22,06:00:00,0.0,G
2014-07-23,06:00:00,0.0,G
2014-07-24,06:00:00,0.0,G
2014-07-25,06:00:00,0.0,G
2014-07-26,06:00:00,0.0,G
2014-07-27,06:00:00,0.0,G
2014-07-28,06:00:00,0.0,G
2014-07-30,06:00:00,0.0,G
2014-07-31,06:00:00,0.0,G
2014-08-01,06:00:00,0.0,G
2014-08-02,06:00:00,0.0,G
2014-08-03,06:00:00,0.0,G
2014-08-04,06:00:00,0.0,G
2014-08-05,06:00:00,0.0,G
2014-08-06,06:00:00,0.0,G
2014-08-07,06:00:00,0.0,G
2014-08-08,06:00:00,0.0,G
2014-08-09,06:00:00,0.0,G
2014-08-10,06:00:00,0.0,G
2014-08-11,06:00:00,0.0,G
2014-08-12,06:00:00,0.0,G
2014-08-13,06:00:00,0.0,G
2014-08-14,06:00:00,0.0,G
2014-08-15,06:00:00,0.0,G
2014-08-16,06:00:00,0.0,G
2014-08-17,06:00:00,0.0,G
2014-08-18,06:00:00,0.0,G
2014-08-19,06:00:00,0.0,G
2014-08-20,06:00:00,0.0,G
2014-08-21,06:00:00,0.0,G
2014-08-22,06:00:00,0.0,G
2014-08-23,06:00:00,0.0,G
2014-08-24,06:00:00,0.0,G
2014-08-25,06:00:00,0.0,G
2014-08-26,06:00:00,0.0,G
2014-08-27,06:00:00,0.0,G
2014-08-28,06:00:00,0.0,G
2014-08-29,06:00:00,0.0,G
2014-08-30,06:00:00,0.0,G
2014-08-31,06:00:00,0.0,G
2014-09-01,06:00:00,0.0,G
2014-09-02,06:00:00,0.0,G
2014-09-03,06:00:00,0.0,G
2014-09-04,06:00:00,0.0,G
2014-09-05,06:00:00,0.0,G
2014-09-06,06:00:00,0.0,G
2014-09-07,06:00:00,0.0,G
2014-09-08,06:00:00,0.0,G
2014-09-09,06:00:00,0.0,G
2014-09-10,06:00:00,0.0,G
2014-09-11,06:00:00,0.0,G
2014-09-12,06:00:00,0.0,G
2014-09-13,06:00:00,0.0,G
2014-09-14,06:00:00,0.0,G
2014-09-15,06:00:00,0.0,G
2014-09-16,06:00:00,0.0,G
2014-09-17,06:00:00,0.0,G
2014-09-18,06:00:00,0.0,G
2014-09-19,06:00:00,0.0,G
2014-09-20,06:00:00,0.0,G
2014-09-21,06:00:00,0.0,G
2014-09-22,06:00:00,0.0,G
2014-09-23,06:00:00,0.0,G
2014-09-24,06:00:00,0.0,G
2014-09-25,06:00:00,0.0,G
2014-09-26,06:00:00,0.0,G
2014-09-27,06:00:00,0.0,G
2014-09-28,06:00:00,0.0,G
2014-09-29,06:00:00,0.0,G
2014-09-30,06:00:00,0.0,G
2014-10-01,06:00:00,0.0,G
2014-10-02,06:00:00,0.0,G
2014-10-03,06:00:00,0.0,G
2014-10-04,06:00:00,0.0,G
2014-10-05,06:00:00,0.0,G
2014-10-06,06:00:00,0.0,G
2014-10-07,06:00:00,0.0,G
2014-10-08,06:00:00,0.0,G
2014-10-09,06:00:00,0.0,G
2014-10-10,06:00:00,0.0,G
2014-10-11,06:00:00,0.0,G
2014-10-12,06:00:00,0.0,G
2014-10-13,06:00:00,0.0,G
2014-10-14,06:00:00,0.0,G
2014-10-15,06:00:00,0.0,G
2014-10-16,06:00:00,0.0,G
2014-10-17,06:00:00,0.0,G
2014-10-18,06:00:00,0.0,G
