Datum,Tid (UTC),Snödjup,Kvalitet
2014-01-15,06:00:00,0.23,G
2014-01-31,06:00:00,0.2,G
2014-02-15,06:00:00,0.0,G
2014-02-28,06:00:00,0.0,G
2014-03-01,06:00:00,0.0,G
2014-03-15,06:00:00,0.0,G
2014-03-31,06:00:00,0.0,G
2014-04-01,06:00:00,0.0,G
2014-04-15,06:00:00,0.0,G
2014-04-30,06:00:00,0.0,G
2014-12-15,06:00:00,0.0,G
2014-12-31,06:00:00,0.0,G
2015-01-15,06:00:00,0.0,G
2015-01-31,06:00:00,0.05,G
2015-02-15,06:00:00,0.0,G
2015-02-28,06:00:00,0.0,G
2015-03-15,06:00:00,0.0,G
2015-03-31,06:00:00,0.0,G
2015-11-15,06:00:00,0.0,G
2015-11-30,06:00:00,0.0,G
2015-12-15,06:00:00,0.0,G
2015-12-31,06:00:00,0.0,G
2016-01-15,06:00:00,0.05,G
2016-01-31,06:00:00,0.0,G
2016-02-15,06:00:00,0.0,G
2016-02-29,06:00:00,0.0,G
2016-03-15,06:00:00,0.03,G
2016-03-19,06:00:00,0.0,G
2016-03-31,06:00:00,0.0,G
2016-04-15,06:00:00,0.0,G
2016-04-30,06:00:00,0.0,G
2016-11-15,06:00:00,0.0,G
2016-11-30,06:00:00,0.0,G
2016-12-15,06:00:00,0.0,G
2016-12-31,06:00:00,0.0,G
2017-01-02,06:00:00,0.01,G
2017-01-03,06:00:00,0.01,G
2017-01-05,06:00:00,0.01,G
2017-01-06,06:00:00,0.01,G
2017-01-08,06:00:00,0.01,G
2017-01-09,06:00:00,0.01,G
2017-01-11,06:00:00,0.01,G
2017-01-12,06:00:00,0.01,G
2017-01-14,06:00:00,0.01,G
2017-01-15,06:00:00,0.0,G
2017-01-17,06:00:00,0.01,G
2017-01-18,06:00:00,0.01,G
2017-01-21,06:00:00,0.01,G
2017-01-24,06:00:00,0.01,G
2017-01-25,06:00:00,0.01,G
2017-01-27,06:00:00,0.01,G
2017-01-28,06:00:00,0.01,G
2017-01-30,06:00:00,0.01,G
2017-01-31,06:00:00,0.0,G
2017-02-15,06:00:00,0.0,G
2017-02-28,06:00:00,0.0,G
2017-03-15,06:00:00,0.0,G
2017-03-31,06:00:00,0.0,G
2017-11-15,06:00:00,0.0,G
2017-11-30,06:00:00,0.02,G
2017-12-31,06:00:00,0.0,G
2018-01-15,06:00:00,0.0,G
2018-01-25,06:00:00,0.0,G
2018-01-31,06:00:00,0.0,G
2018-02-15,06:00:00,0.0,G
2018-04-15,06:00:00,0.0,G
2018-04-30,06:00:00,0.0,G
