Datum,Tid (UTC),Snödjup,Kvalitet
2014-01-01,06:00:00,0.0,G
2014-01-12,06:00:00,0.02,G
2014-01-18,06:00:00,0.03,G
2014-01-24,06:00:00,0.02,G
2014-02-01,06:00:00,0.07,G
2014-02-10,06:00:00,0.0,G
2014-02-16,06:00:00,0.0,G
2014-02-21,06:00:00,0.03,G
2014-02-23,06:00:00,0.0,G
2014-02-25,06:00:00,0.0,G
2014-03-01,06:00:00,0.0,G
2014-03-02,06:00:00,0.0,G
2014-03-03,06:00:00,0.0,G
2014-03-04,06:00:00,0.0,G
2014-03-05,06:00:00,0.0,G
2014-03-06,06:00:00,0.0,G
2014-03-07,06:00:00,0.0,G
2014-03-08,06:00:00,0.0,G
2014-03-09,06:00:00,0.0,G
2014-03-10,06:00:00,0.0,G
2014-03-11,06:00:00,0.0,G
2014-03-12,06:00:00,0.0,G
2014-03-13,06:00:00,0.0,G
2014-03-14,06:00:00,0.0,G
2014-03-15,06:00:00,0.0,G
2014-03-16,06:00:00,0.0,G
2014-03-17,06:00:00,0.04,G
2014-03-18,06:00:00,0.09,G
2014-03-19,06:00:00,0.1,G
2014-03-20,06:00:00,0.11,G
2014-03-24,06:00:00,0.0,G
2014-03-25,06:00:00,0.0,G
2014-03-26,06:00:00,0.0,G
2014-03-27,06:00:00,0.0,G
2014-03-28,06:00:00,0.0,G
2014-03-29,06:00:00,0.0,G
2014-03-30,06:00:00,0.0,G
2014-03-31,06:00:00,0.0,G
2014-04-01,06:00:00,0.0,G
2014-12-25,06:00:00,0.01,G
2014-12-30,06:00:00,0.04,G
