Datum,Nederbördsmängd,Kvalitet
2014-01-01,0.0,Y
2014-01-02,3.6,Y
2014-01-03,1.6,Y
2014-01-04,6.4,Y
2014-01-05,1.4,Y
2014-01-06,1.0,Y
2014-01-07,7.1,Y
2014-01-08,0.7,Y
2014-01-09,13.6,Y
2014-01-10,2.2,Y
2014-01-11,2.9,Y
2014-01-12,1.1,Y
2014-01-13,0.6,Y
2014-01-14,0.5,Y
2014-01-15,5.0,Y
2014-01-16,0.0,Y
2014-01-17,0.2,Y
2014-01-18,0.2,Y
2014-01-19,0.3,Y
2014-01-20,0.0,Y
2014-01-21,0.0,Y
2014-01-22,0.0,Y
2014-01-23,0.3,Y
2014-01-24,0.2,Y
2014-01-25,0.0,Y
2014-01-26,0.9,Y
2014-01-27,10.2,Y
2014-01-28,0.2,Y
2014-01-29,1.9,Y
2014-01-30,1.6,Y
2014-01-31,6.2,Y
2014-02-01,0.1,Y
2014-02-02,0.0,Y
2014-02-03,0.0,Y
2014-02-04,0.0,Y
2014-02-05,0.0,Y
2014-02-06,0.0,Y
2014-02-07,10.4,Y
2014-02-08,4.8,Y
2014-02-09,4.1,Y
2014-02-10,2.1,Y
2014-02-11,2.3,Y
2014-02-12,0.0,Y
2014-02-13,1.6,Y
2014-02-14,0.0,Y
2014-02-15,5.2,Y
2014-02-16,2.0,Y
2014-02-17,0.0,Y
2014-02-18,0.0,Y
2014-02-19,6.3,Y
2014-02-20,5.9,Y
2014-02-21,9.3,Y
2014-02-22,0.0,Y
2014-02-23,0.0,Y
2014-02-24,0.0,Y
2014-02-25,0.0,Y
2014-02-26,0.0,Y
2014-02-27,3.3,Y
2014-02-28,1.3,Y
2014-03-01,0.9,Y
2014-03-02,4.4,Y
2014-03-03,0.0,Y
2014-03-04,0.0,Y
2014-03-05,0.0,Y
2014-03-06,0.0,Y
2014-03-07,0.2,Y
2014-03-08,0.0,Y
2014-03-09,0.0,Y
2014-03-10,1.8,Y
2014-03-11,0.0,Y
2014-03-12,0.0,Y
2014-03-13,0.0,Y
2014-03-14,9.1,Y
2014-03-15,0.1,Y
2014-03-16,2.4,Y
2014-03-17,0.0,Y
2014-03-18,0.0,Y
2014-03-19,7.9,Y
2014-03-20,0.0,Y
2014-03-21,0.1,Y
2014-03-22,0.0,Y
2014-03-23,0.0,Y
2014-03-24,0.0,Y
2014-03-25,4.3,Y
2014-03-26,5.1,Y
2014-03-27,0.0,Y
2014-03-28,0.0,Y
2014-03-29,0.0,Y
2014-03-30,0.5,Y
2014-03-31,0.0,Y
2014-04-01,0.0,Y
2014-04-02,0.0,Y
2014-04-03,0.0,Y
2014-04-04,0.0,Y
2014-04-05,0.1,Y
2014-04-06,0.9,Y
2014-04-07,2.6,Y
2014-04-08,17.6,Y
2014-04-09,2.5,Y
2014-04-10,1.0,Y
2014-04-11,0.2,Y
2014-04-12,1.4,Y
2014-04-13,0.0,Y
2014-04-14,1.1,Y
2014-04-15,0.0,Y
2014-04-16,0.0,Y
2014-04-17,0.8,Y
2014-04-18,0.2,Y
2014-04-19,0.0,Y
2014-04-20,0.0,Y
2014-04-21,0.0,Y
2014-04-22,0.0,Y
2014-04-23,0.0,Y
2014-04-24,0.0,Y
2014-04-25,0.0,Y
2014-04-26,0.0,Y
2014-04-27,0.0,Y
2014-04-28,0.0,Y
2014-04-29,0.3,Y
2014-04-30,0.3,Y
2014-05-01,0.0,Y
2014-05-02,0.0,Y
2014-05-03,0.6,Y
2014-05-04,0.0,Y
2014-05-05,0.0,Y
2014-05-06,9.9,Y
2014-05-07,21.5,Y
2014-05-08,3.7,Y
2014-05-09,5.7,Y
2014-05-10,0.0,Y
2014-05-11,5.2,Y
2014-05-12,0.5,Y
2014-05-13,0.9,Y
2014-05-14,1.0,Y
2014-05-15,0.2,Y
2014-05-16,0.0,Y
2014-05-17,0.0,Y
2014-05-18,0.2,Y
2014-05-19,1.3,Y
2014-05-20,0.0,Y
2014-05-21,0.0,Y
2014-05-22,0.0,Y
2014-05-23,0.0,Y
2014-05-24,0.0,Y
2014-05-25,0.0,Y
2014-05-26,0.0,Y
2014-05-27,0.0,Y
2014-05-28,0.0,Y
2014-05-29,0.4,Y
2014-05-30,4.8,Y
2014-05-31,0.0,Y
2014-06-01,0.0,Y
2014-06-02,0.0,Y
2014-06-03,12.6,Y
2014-06-04,0.6,Y
2014-06-05,0.1,Y
2014-06-06,0.0,Y
2014-06-07,9.1,Y
2014-06-08,0.0,Y
2014-06-09,0.0,Y
2014-06-10,0.0,Y
2014-06-11,2.1,Y
2014-06-12,3.3,Y
2014-06-13,1.3,Y
2014-06-14,0.0,Y
2014-06-15,1.2,Y
2014-06-16,0.0,Y
2014-06-17,0.0,Y
2014-06-18,0.7,Y
2014-06-19,0.7,Y
2014-06-20,0.0,Y
2014-06-21,0.0,Y
2014-06-22,0.9,Y
2014-06-23,2.8,Y
2014-06-24,0.0,Y
2014-06-25,0.7,Y
2014-06-26,0.0,Y
2014-06-27,8.5,Y
2014-06-28,2.6,Y
2014-06-29,2.2,Y
2014-06-30,2.3,Y
