Datum,Nederbördsmängd,Kvalitet
2014-01-01,0.0,G
2014-01-02,4.6,G
2014-01-03,0.0,G
2014-01-04,6.3,G
2014-01-05,3.0,G
2014-01-06,2.0,G
2014-01-07,10.0,G
2014-01-08,1.3,G
2014-01-09,10.8,G
2014-01-10,2.0,G
2014-01-11,5.1,G
2014-01-12,2.5,G
2014-01-13,2.3,G
2014-01-14,7.4,G
2014-01-15,8.9,G
2014-01-16,0.0,G
2014-01-17,0.8,G
2014-01-18,0.7,G
2014-01-19,0.0,G
2014-01-20,0.0,G
2014-01-21,0.0,G
2014-01-22,0.0,G
2014-01-23,0.0,G
2014-01-24,0.0,G
2014-01-25,0.0,G
2014-01-26,1.3,G
2014-01-27,1.7,G
2014-01-28,0.2,G
2014-01-29,2.5,G
2014-01-30,5.5,G
2014-01-31,4.5,G
2014-02-01,3.0,G
2014-02-02,0.0,G
2014-02-03,0.0,G
2014-02-04,0.0,G
2014-02-05,0.5,G
2014-02-06,0.0,G
2014-02-07,9.0,G
2014-02-08,6.0,G
2014-02-09,4.9,G
2014-02-10,0.0,G
2014-02-11,0.9,G
2014-02-12,0.0,G
2014-02-13,0.9,G
2014-02-14,0.0,G
2014-02-15,5.1,G
2014-02-16,3.6,G
2014-02-17,0.0,G
2014-02-18,0.0,G
2014-02-19,5.8,G
2014-02-20,9.7,G
2014-02-21,4.0,G
2014-02-22,1.3,G
2014-02-23,0.0,G
2014-02-24,0.0,G
2014-02-25,0.0,G
2014-02-26,0.0,G
2014-02-27,2.1,G
2014-02-28,0.0,G
2014-03-01,2.0,G
2014-03-02,1.6,G
2014-03-03,0.0,G
2014-03-04,0.0,G
2014-03-05,0.0,G
2014-03-06,0.0,G
2014-03-07,0.6,G
2014-03-08,0.0,G
2014-03-09,0.0,G
2014-03-10,2.4,G
2014-03-11,0.0,G
2014-03-12,0.0,G
2014-03-13,0.0,G
2014-03-14,10.8,G
2014-03-15,0.0,G
2014-03-16,1.1,G
2014-03-17,0.0,G
2014-03-18,0.0,G
2014-03-19,9.9,G
2014-03-20,0.0,G
2014-03-21,0.0,G
2014-03-22,0.0,G
2014-03-23,0.0,G
2014-03-24,0.0,G
2014-03-25,2.2,G
2014-03-26,7.0,G
2014-03-27,0.0,G
2014-03-28,0.0,G
2014-03-29,0.0,G
2014-03-30,0.0,G
2014-03-31,0.0,G
2014-04-01,0.0,G
2014-04-02,0.0,G
2014-04-03,0.0,G
2014-04-04,0.0,G
2014-04-05,0.0,G
2014-04-06,3.0,G
2014-04-07,2.8,G
2014-04-08,26.0,G
2014-04-09,1.2,G
2014-04-10,1.5,G
2014-04-11,0.0,G
2014-04-12,2.6,G
2014-04-13,0.0,G
2014-04-14,0.0,G
2014-04-15,0.0,G
2014-04-16,0.0,G
2014-04-17,2.1,G
2014-04-18,0.0,G
2014-04-19,0.0,G
2014-04-20,0.0,G
2014-04-21,0.0,G
2014-04-22,0.0,G
2014-04-23,0.0,G
2014-04-24,0.0,G
2014-04-25,0.0,G
2014-04-26,0.0,G
2014-04-27,0.0,G
2014-04-28,0.0,G
2014-04-29,0.0,G
2014-04-30,0.4,G
2014-05-01,0.0,G
2014-05-02,0.0,G
2014-05-03,0.0,G
2014-05-04,0.0,G
2014-05-05,0.0,G
2014-05-06,8.2,G
2014-05-07,33.0,G
2014-05-08,2.0,G
2014-05-09,2.3,G
2014-05-10,0.0,G
2014-05-11,13.2,G
2014-05-12,2.1,G
2014-05-13,0.3,G
2014-05-14,1.4,G
2014-05-15,0.0,G
2014-05-16,0.0,G
2014-05-17,0.0,G
2014-05-18,0.9,G
2014-05-19,2.0,G
2014-05-20,0.0,G
2014-05-21,0.0,G
2014-05-22,0.0,G
2014-05-23,0.0,G
2014-05-24,2.6,G
2014-05-25,0.0,G
2014-05-26,0.0,G
2014-05-27,0.0,G
2014-05-28,0.0,G
2014-05-29,0.0,G
2014-05-30,2.6,G
2014-05-31,0.0,G
2014-06-01,0.0,G
2014-06-02,0.0,G
2014-06-03,14.5,G
2014-06-04,1.2,G
2014-06-05,2.3,G
2014-06-06,6.4,G
2014-06-07,0.5,G
2014-06-08,0.0,G
2014-06-09,0.0,G
2014-06-10,0.0,G
2014-06-11,0.0,G
2014-06-12,0.4,G
2014-06-13,3.8,G
2014-06-14,0.0,G
2014-06-15,1.3,G
2014-06-16,0.0,G
2014-06-17,0.0,G
2014-06-18,1.4,G
2014-06-19,11.0,G
2014-06-20,0.0,G
2014-06-21,0.6,G
2014-06-22,1.7,G
2014-06-23,1.2,G
2014-06-24,0.0,G
2014-06-25,5.4,G
2014-06-26,0.0,G
2014-06-27,7.7,G
2014-06-28,17.2,G
2014-06-29,4.6,G
2014-06-30,0.0,G
2014-07-01,3.1,G
2014-07-02,0.7,G
2014-07-03,1.0,G
2014-07-04,0.0,G
2014-07-05,0.0,G
2014-07-06,0.0,G
2014-07-07,4.0,G
2014-07-08,1.2,G
2014-07-09,0.0,G
2014-07-10,0.0,G
2014-07-11,0.0,G
2014-07-12,0.0,G
2014-07-13,2.2,G
2014-07-14,1.4,G
2014-07-15,0.6,G
2014-07-16,0.0,G
2014-07-17,0.0,G
2014-07-18,0.0,G
2014-07-19,0.0,G
2014-07-20,0.0,G
2014-07-21,0.0,G
2014-07-22,0.0,G
2014-07-23,0.0,G
2014-07-24,0.0,G
2014-07-25,0.0,G
2014-07-26,0.0,G
2014-07-27,4.9,G
2014-07-28,0.0,G
2014-07-29,0.0,G
2014-07-30,0.0,G
2014-07-31,0.0,G
2014-08-01,0.0,G
2014-08-02,3.3,G
2014-08-03,0.5,G
2014-08-04,6.3,G
2014-08-05,29.0,G
2014-08-06,6.9,G
2014-08-07,0.0,G
2014-08-08,0.0,G
2014-08-09,5.2,G
2014-08-10,10.0,G
2014-08-11,7.4,G
2014-08-12,2.2,G
2014-08-13,10.1,G
2014-08-14,5.6,G
2014-08-15,2.1,G
2014-08-16,2.9,G
2014-08-17,14.7,G
2014-08-18,0.5,G
2014-08-19,10.2,G
2014-08-20,8.1,G
2014-08-21,7.0,G
2014-08-22,0.8,G
2014-08-23,9.1,G
2014-08-24,2.9,G
2014-08-25,2.5,G
2014-08-26,0.7,G
2014-08-27,0.0,G
2014-08-28,0.0,G
2014-08-29,1.1,G
2014-08-30,0.0,G
2014-08-31,0.0,G
2014-09-01,0.0,G
2014-09-02,0.0,G
2014-09-03,0.0,G
2014-09-04,0.0,G
2014-09-05,0.0,G
2014-09-06,0.0,G
2014-09-07,2.2,G
2014-09-08,5.9,G
2014-09-09,5.3,G
2014-09-10,0.0,G
2014-09-11,0.0,G
2014-09-12,0.0,G
